Sensor,R2_Test,Outdoor PM(5.0),SolarZenithAngle,Outdoor Humidity,585nm,Outdoor PM(2.5),Outdoor PC(0.1),Outdoor Dew Point,Outdoor Temperature,Outdoor PC(1.0),Outdoor PC(0.5),Outdoor Pressure,Outdoor PC(2.5),645nm,Outdoor PC(5.0),Outdoor PM(0.5),Outdoor PC(10.0),705nm,Outdoor PC(0.3),560nm
ind01,0.8410485455660989,1.1205291370694481,0.3500443499980617,0.4051065701868188,0.5864041040206179,0.6349852128304421,0.5447159848930597,0.4506529539854923,0.8938106968721021,2.1228305959133036,6.112393101499829,,,,,,,,,
ind02,0.9660620219270901,0.37576241304817226,0.3624536005646894,,0.6162905281277443,,0.4613780290266373,0.31176938725258907,0.661455832067852,2.6941726250756775,4.190679535503517,0.2736379290672182,0.21314516453306417,,,,,,,
ind03,0.968027441071256,,0.36003919275853347,,0.3599581464127869,,0.2764589887350782,0.2875141985625519,0.7366346138621164,3.0831389124569433,5.057936215257619,0.30152179501026294,0.5493128886798417,0.32065920690262256,,,,,,
ind04,0.9678209880961921,0.4306865821722361,0.34470328117648574,,0.34054962734233146,,0.40890000903533535,0.3490669595725693,0.42228870084363596,2.768547455566685,5.720154542673619,,,0.6379906765750164,0.2450803483922287,,,,,
ind06,0.981732430518956,1.16892114629559,,0.21134754633003258,0.37705673336303946,3.5489639743562154,,,0.2433489510496163,2.681602513419466,2.739894567179588,0.19570906762893234,0.32776677429646595,0.3931035908751407,,,,,,
ind07,0.9744129107346488,0.41211592663292235,0.2824624518197003,,0.3222905444346848,0.21200831020830627,,0.34364841535800855,0.48962250787365447,2.8533319049775767,4.2271056648079535,0.24061225137581177,,0.3663252683090842,,,,,,
ind08,0.9743984715629359,0.17720915959976014,,,0.3283659464280563,1.2318962105417566,0.6233879795049221,0.34398317988662563,0.5290068381426406,3.097187165430935,3.9100384288382797,0.27690997925317196,0.25659851597623995,,,,,,,
ind09,0.9335666670863162,0.9991054960614865,,,0.29935392989680504,,0.728733310933604,0.43808255632683935,0.8327762397019048,3.0560497167774194,3.422673974068769,0.30380739624832204,0.20628397384974165,0.33394613013394797,,,,,,
ind10,0.9530558977409991,0.8521656177511404,0.2965672989467058,,,0.5679572118727149,1.3733716588410818,0.42556706986332377,0.7270726609145921,4.56125917166727,2.720541952898991,0.47350072927938935,,,,0.5025318739334123,,,,
ind11,0.9286456052290066,0.6572513728398177,,,0.4907736423472323,0.23329856131279944,1.2167602333405545,0.5329561143884244,1.2013691849036905,2.884253043166876,5.892449996544105,,0.35049532083807966,,,,0.12226452155007525,,,
ind12,0.9363267825940383,,0.24290699547133177,,0.47672437853369964,0.7015228960098566,0.5914568124477667,,0.9583105072373179,3.2769736218862366,4.766350667669579,0.2517418899978885,0.35178955113840277,,0.4087595062490844,,,,,
ind13,0.9580529812062953,0.41546883045553473,,,1.606006397678789,0.5572610917073079,0.9547071132834357,,1.3400858619647038,2.440125322044665,5.649209708749908,,0.6067584854405553,1.3688737445333465,,,,0.5806323531275487,,
ind14,0.9539458680071236,,0.2954958896424003,,0.40076712394286856,0.42669261714555906,1.222386142923945,0.5269213056368419,0.7174062136803425,3.445998331817587,4.008938489536731,,0.2960669856677595,,,,,,0.3009974853475688,
ind15,0.9557260012738814,0.3198681860544137,,,0.7374844265055939,0.9220146756254397,0.7494187348783075,,0.9883875460561241,3.2374166780102605,5.947028449923267,0.26754671110326317,0.2037409753602741,0.9954912171857033,,,,,,
ind16,0.9700040605639801,1.159141070899584,,,0.3617567218067554,0.23718034597501345,0.44182449940349366,0.4933755397666778,0.45860236824043676,4.138904549229885,3.1999028634780955,0.2875283141748341,,0.36060262685275224,,,,,,
ind17,0.9312454477133535,1.2066707424598864,,0.2781223768433593,,,0.8985200630987625,,0.486607846243402,3.102524887650854,4.213282228688217,0.7232307946631102,0.43919469465302075,0.700806991116747,,,,,,0.9673032633730358
ind18,0.9614663595764324,0.3173939175218376,,,0.440791613559405,0.551144674631336,0.7412811340021271,0.608602298414402,0.6927055747839025,3.34287833470446,5.766814040121919,,0.3876171863618002,0.6300388218269216,,,,,,
ind19,0.9667867142540064,1.3142976223222378,,,0.33642700571791007,0.25675888909253014,0.49374165830685696,0.43404526840385566,0.4949277318207484,3.107950346809075,4.017267431446797,0.25173615732914634,0.1921945161463563,,,,,,,
ind20,0.9466787799929118,0.4012010712635639,,,0.4076136278945417,0.32926289600968206,1.0427560537152887,0.5775022563339648,0.7358244012787715,2.9944926114547887,5.552627633905053,,0.3932244721603711,,,0.5687974001147742,,,,
ind21,0.8929669597709993,1.1462115008196438,0.6551293699518685,,2.4332395690236113,,,1.3776567043012398,1.7245419510512927,3.0660771354142415,7.635818342184667,,,2.176205625834283,,0.7077716438935314,,0.5786982497566118,,
