,Outdoor PC(0.1),Outdoor PC(0.3),Outdoor PC(0.5),Outdoor PC(1.0),Outdoor PC(2.5),Outdoor PC(5.0),Outdoor PC(10.0),Outdoor PM(0.1),Outdoor PM(0.3),Outdoor PM(0.5),Outdoor PM(1.0),Outdoor PM(2.5),Outdoor PM(5.0),Outdoor PM(10.0),Outdoor Pressure,Outdoor Temperature,Outdoor Humidity,Outdoor Dew Point,Outdoor Wind Direction,Outdoor Wind Speed,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,SolarZenithAngle
Outdoor PC(0.1),1.0,0.9956572653824958,0.9489408641398995,0.8740034082232231,0.6329376203241297,0.4326465108361392,0.020890533470457422,1.0000000000000662,0.9963609437828702,0.970719414068961,0.949528528735188,0.9196864990514328,0.9051013577509804,0.9047024034236772,-0.20963713721996016,0.17561360235657922,0.2827146480637672,0.3227103215352153,-0.2433211390217359,-0.00235856974879189,0.002872822558531141,0.008747012029114466,0.008965128121243933,0.008747010846495682,0.008992531586090714,0.009171989316444749,0.008992534511406773,0.021095675109583642,0.008747009576958195,0.001062971116333451,0.0028297449938177945,0.009190310704507237,0.008747011406573886,0.008747012014500111,0.008747012202522391,0.008964150782311973,0.008747015151193955,0.00874701520051856,-0.019242368488371183
Outdoor PC(0.3),0.9956572653824958,1.0,0.9687472057932252,0.903317917403321,0.6764084180110551,0.47535241943950973,0.03522110443451215,0.9956572654074818,0.999968859288189,0.9855311780208499,0.9693414253517028,0.9442559519382389,0.9312160101827934,0.9308453849477288,-0.2071360747231847,0.15630398687193667,0.2751188097818311,0.2983190578804487,-0.22151308267206538,0.007347099767413817,0.0019508431862543547,0.0026757046770269403,0.0028921022829320113,0.002675703642237141,0.0029192630045364416,0.0011029645409170346,0.0029192663105160783,0.013976311012099021,0.002675702364682869,-0.0034094694201743676,-0.004611079844388562,0.0011212543077200262,0.0026757043578036805,0.002675704650051159,0.0026757049525938706,0.0029063365091265237,0.0026757083974027203,0.0026757086170719215,-0.013102281637524811
Outdoor PC(0.5),0.9489408641398995,0.9687472057932252,1.0,0.961788275653326,0.7802096539098641,0.584074862109053,0.06537281462827457,0.9489408642828963,0.9673946554992139,0.99677114737353,0.9964476840917121,0.9857561275867298,0.9777121591440465,0.9774241134652275,-0.18744045119208408,0.10664852145983005,0.27062541074542934,0.24320850152858517,-0.17370483471554493,0.014623408224021457,-0.00028866552811219125,-0.008940158728852033,-0.00882074850618884,-0.0089401595881052,-0.00879602148220099,-0.013721594931949422,-0.008796017806972378,0.0013488260655018988,-0.008940160651881529,-0.010251160048879743,-0.01728673306804401,-0.01370440417370621,-0.008940158580564753,-0.008940158824553467,-0.008940158393946677,-0.008787354980724502,-0.008940154427420447,-0.008940153950993294,-0.0013217447575876713
Outdoor PC(1.0),0.8740034082232231,0.903317917403321,0.961788275653326,1.0,0.9102275433270188,0.7652589620342679,0.23103030081527565,0.8740034084026587,0.901137293400579,0.949396552405317,0.9770541749435173,0.992394956601416,0.9955475278506171,0.995595174675931,-0.21424798458617958,0.12522775241779077,0.22931456630913735,0.23844501026798834,-0.15908989010711427,0.044029632797280366,-0.0008339188195726536,-0.012942903455736001,-0.012716357356995852,-0.012942904275156215,-0.012694174986953776,-0.018386358073573625,-0.012694171234546497,-0.005639193594814977,-0.012942905192690417,-0.014587608134466582,-0.020899429910908252,-0.01837065679798066,-0.012942903157066333,-0.012942903546719675,-0.012942903157566254,-0.012686095128419918,-0.012942898891888646,-0.012942898330761756,-0.00744715050393617
Outdoor PC(2.5),0.6329376203241297,0.6764084180110551,0.7802096539098641,0.9102275433270188,1.0,0.9571775754996207,0.44925728446964613,0.6329376205427826,0.6729512718282528,0.7517514079846566,0.8131079031188073,0.8690015445864142,0.8898666439944883,0.890453290703875,-0.1932898406367226,0.11130374027730283,0.1292730936887008,0.1681858398408113,-0.09958456966555533,0.06327007052862398,-0.0011611131964386506,-0.013286896794724787,-0.013151506483748394,-0.01328689736610871,-0.01313609582674589,-0.01815413674572801,-0.013136092623015088,-0.011760975233271407,-0.013286898182953732,-0.015299317365697899,-0.020047192304026424,-0.01814293358957239,-0.013286896333071934,-0.013286896779738598,-0.013286896474035656,-0.013117292707022141,-0.013286892326431838,-0.013286891713125826,-0.007495256745011934
Outdoor PC(5.0),0.4326465108361392,0.47535241943950973,0.584074862109053,0.7652589620342679,0.9571775754996207,1.0,0.6109735761685143,0.43264651105705687,0.47189235817795405,0.5526614103725416,0.6297889235476868,0.7055622670312183,0.7365826273760585,0.7375453720709803,-0.1640881081881109,0.09681708479199065,0.053726792835865816,0.1127466807855097,-0.06080510787781385,0.06157092701764643,-0.0010856779984725492,-0.010032286526608394,-0.010049982694825724,-0.010032286918164893,-0.010038162495512936,-0.013873495692886303,-0.010038160096125837,-0.01143028643939577,-0.01003228759966417,-0.012786684333568667,-0.015506416936419723,-0.01386490282757457,-0.010032286114325599,-0.010032286472942367,-0.010032286259873882,-0.010033635264846996,-0.010032282769370543,-0.010032282234882166,-0.01383823488269227
Outdoor PC(10.0),0.020890533470457422,0.03522110443451215,0.06537281462827457,0.23103030081527565,0.44925728446964613,0.6109735761685143,1.0,0.020890533639690928,0.034018146303946895,0.055897162821857777,0.11489201885556752,0.1775615879759114,0.2080506217789195,0.20931558674784673,-0.03619982000560876,0.0022676214225235765,-0.03134180525479824,-0.021474934339916055,0.015380516871652532,0.012759156803132183,-5.788939788905706e-05,-0.0005088305628910922,-0.0005117751001678436,-0.0005088305638531824,-0.000511255987331113,-0.0007014981923673263,-0.0005112559832727995,-0.0010657624538455742,-0.0005088306670780304,-0.0008452438131778794,-0.0008286412520747651,-0.0007011183936383854,-0.0005088305164680549,-0.0005088305353801472,-0.0005088304968030862,-0.0005105663824653572,-0.0005088301723839807,-0.0005088301417735042,-0.009878439742166149
Outdoor PM(0.1),1.0000000000000662,0.9956572654074818,0.9489408642828963,0.8740034084026587,0.6329376205427826,0.43264651105705687,0.020890533639690928,1.0,0.9963609438058254,0.9707194141749395,0.9495285288668189,0.9196864992022264,0.9051013579092558,0.9047024035819579,-0.20963713668137907,0.17561360186894798,0.28271464823374365,0.3227103211233436,-0.2433211385178709,-0.0023585696859804387,0.002872822517420179,0.008747012243314924,0.008965128228138674,0.008747011060695977,0.008992531699849654,0.009171989164403456,0.008992534625165773,0.021095674859884714,0.008747009791158921,0.001062971051573619,0.002829745132865334,0.009190310557318155,0.008747011620774073,0.008747012228700925,0.008747012416722901,0.008964150896305268,0.00874701536539431,0.008747015414719145,-0.01924236837570489
Outdoor PM(0.3),0.9963609437828702,0.999968859288189,0.9673946554992139,0.901137293400579,0.6729512718282528,0.47189235817795405,0.034018146303946895,0.9963609438058254,1.0,0.9846076831382347,0.9679885197045875,0.9424913708158434,0.9293160452996237,0.9289428936565214,-0.20741789878536074,0.1579935718173643,0.27585543765221227,0.30048728230055427,-0.22343643991082018,0.006526808529875867,0.0020296594219061763,0.003191281235398126,0.0034078975494834626,0.0031912801877280765,0.0034350879878922943,0.0017873616607071718,0.0034350912627163686,0.014584543400097572,0.0031912789104229463,-0.003031480483140076,-0.003981862031324347,0.0018056602617676828,0.003191280890354523,0.00319128120946123,0.0031912815023979416,0.003420847130284469,0.0031912849063091297,0.003191285111611933,-0.01362720281076361
Outdoor PM(0.5),0.970719414068961,0.9855311780208499,0.99677114737353,0.949396552405317,0.7517514079846566,0.5526614103725416,0.055897162821857777,0.9707194141749395,0.9846076831382347,1.0,0.9945080382969482,0.9790466937603097,0.9693187632955926,0.9690016891933577,-0.1951061880214796,0.12368441245848849,0.27420707207456496,0.2630962160709282,-0.19070585266758364,0.012160497132555431,0.0004442572805645078,-0.005157695337557942,-0.0050066188987363345,-0.005157696262652242,-0.004980935186934094,-0.008902348234733147,-0.004980931612521026,0.005554511343181872,-0.005157697401684478,-0.008035182103309606,-0.013191584972159153,-0.008884684098721127,-0.005157695344616715,-0.005157695411822152,-0.005157695021800489,-0.00497946945914732,-0.005157691205444712,-0.00515769081158526,-0.00523231870727686
