Sensor,Outdoor PC(0.1),Outdoor PC(0.3),Outdoor PC(0.5),Outdoor PC(1.0),Outdoor PC(2.5),Outdoor PC(5.0),Outdoor PC(10.0),Outdoor PM(0.1),Outdoor PM(0.3),Outdoor PM(0.5),Outdoor PM(1.0),Outdoor PM(2.5),Outdoor PM(5.0),Outdoor PM(10.0),Outdoor Pressure,Outdoor Temperature,Outdoor Humidity,Outdoor Dew Point,Outdoor Wind Direction,Outdoor Wind Speed,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,SolarZenithAngle
ind01,0.18530825268306414,0.013838885155844758,0.23309035408460932,1.0,0.10209663663257414,0.0355607517583479,0.07684444626511946,0.0,0.10555620597728343,0.02495157540943649,0.08191909254469595,0.1135528983009349,0.3478620256054907,0.032509681785121564,0.05268757107036772,0.21545556480357866,0.061699628192465245,0.13050576323812377,0.04510087594612684,0.02709041082062545,0.01533842762616756,0.006097077428323708,0.012773515360013477,0.0071619339303944695,0.004619492360646022,0.004603064134512791,0.022414141519586324,0.09622117740755665,0.0078010662315159355,0.08861246853031815,0.002500424485439073,0.03475890985373203,0.004098473072191757,0.0,0.009776058806540389,0.0025931914222439042,0.012720878386594458,0.027517540475531975,0.06103623370655154
ind02,0.10974032002133913,0.016238276142259915,0.2784528641516738,1.0,0.10843935757655133,0.013683193559086402,0.0,0.0,0.009295184147568764,0.019632895154253257,0.012174560873544205,0.043068292218481345,0.16967417140894786,0.0025230016768493634,0.04758631720769722,0.0776527993402432,0.026398479596856022,0.04915023215998642,0.01175745976327262,0.019871711410943946,0.016501512354588334,0.0026822047377364133,0.015322856476029982,0.0061502474532868535,0.0030963961903938252,0.006132555710596442,0.017879388155976665,0.07195078031279055,0.011486690768715677,0.04960872031823282,0.009397468870762607,0.010733872577867346,0.008664645178796145,0.0,0.001595719067117616,3.3711890353880835e-05,0.01290984332364053,0.021974736816966364,0.06711455991503433
ind03,0.06546811020034136,0.022011713425992206,0.27889435497550813,1.0,0.0625599698026669,0.012949011709764075,0.0,0.0,0.012023054900167269,0.027653680101747936,0.0148469080663125,0.05250410324493708,0.11299465744837807,0.0016101516143861695,0.03503253021455905,0.07176997468279867,0.028387013561329673,0.057081297005425025,0.008926073835336168,0.02083605710631738,0.015470400666487456,0.008500639012995413,0.009452909959957116,0.006682443634718364,0.0034416704027195777,0.013518194357928367,0.015169057910404923,0.05362210765074947,0.00940245880844422,0.056781783299710224,0.0028092389879196085,0.005925328930642827,0.010661531462916107,0.0,0.0037710372887215177,0.002046509880266231,0.01375746060148577,0.015062273582925804,0.05978655055520087
ind04,0.07709274056878057,0.022392419992887616,0.4437186798635603,1.0,0.16827054472122752,0.03544894633377304,0.0,0.0,0.006326216945357755,0.05848911979875251,0.04101791437267088,0.026305019050823344,0.1778498948632995,0.003120308448082098,0.04437308990565024,0.10808691469259422,0.02598654940717616,0.04554522776440606,0.01342611715243096,0.018563724154324755,0.01973207633124672,0.002734429177500315,0.019874989543290054,0.017683354009832744,0.003203690580313282,0.015155201490197528,0.02450358965781174,0.07060144006876276,0.00730792721498727,0.06848363792198776,0.010543998100899545,0.00757597243919019,0.006563338152054384,0.0,0.00547855683576561,0.0022936882811770538,0.022275723000785598,0.01826552538249681,0.06955298700667449
ind06,0.04475854143122542,0.016001460074452932,0.18960927633954025,1.0,0.0977657619843976,0.025127478426439812,0.08703703683791456,0.0,0.013082701361919998,0.03402290164002912,0.042059155720269414,0.030222482649302978,0.741238438735667,0.027194220261030008,0.027734904792477744,0.060882222208013675,0.030883045086340825,0.02682674122153202,0.008948415501060175,0.00824583003773531,0.010706720636838555,0.007916559002559422,0.0050203607434001615,0.005782939321311495,0.0027823171120137306,0.025031890109488517,0.018194355243923203,0.04855576319829891,0.008164111674516424,0.06534955943964478,0.0036415304006264925,0.022908757843188982,0.0058438473432743075,0.0,0.0065474050401268654,8.175290917652019e-05,0.01088162533793457,0.006054626719673588,0.01443794495588245
ind07,0.04202161009208673,0.03311986212433579,0.4489538102147023,1.0,0.10447186327919934,0.022865716852779317,0.0,0.0,0.01205007706431967,0.07574309018173636,0.016896231550338172,0.10967913184300065,0.27482128457515453,0.006792372325683541,0.05527910496771309,0.09380800517034307,0.025833375102973222,0.06826835225191995,0.009799291651113191,0.03219984673016528,0.01100043282037704,0.0033212069218357784,0.010193123124308767,0.005447353795018122,0.006577180326884332,0.008373706529616236,0.017430225544703873,0.08263688710818774,0.015266615262004828,0.03976907226064743,0.005012267125251348,0.017796237858700808,0.003856274818461324,0.0,0.002777216347083193,0.0010330018711295422,0.034443310945279505,0.017549425002411946,0.07552558767652616
ind08,0.05176078569929257,0.009363942671882064,0.25346717641624633,1.0,0.16334446725365728,0.02143121059505003,0.03349254587172546,0.0,0.009849346884146671,0.009146448456602197,0.02632553217874894,0.37823164439293583,0.24843440826502586,0.022888464707943052,0.060624773803414495,0.13269687109528125,0.019470668397833263,0.05836249696960533,0.01693488929197004,0.017484906854762245,0.006054508366531415,0.0037125383268038336,0.013277333144456132,0.002538826481357549,0.003867739630318693,0.01192410367107601,0.016431574795814252,0.04681668734639877,0.009589310441094758,0.029965347278520762,0.005861311539108489,0.007916392069975926,0.010522175450478274,0.0,0.002099003631382334,0.0006588550111399046,0.014316466284995924,0.014058637069065698,0.02863331017322068
ind09,0.18504892923056987,0.012388689329651368,0.4039579957990949,1.0,0.18804381781170826,0.02452751377415699,0.0,0.0,0.011932352108846762,0.045153047255763246,0.04189027069769052,0.03136219807536065,0.02593444411264424,0.020788150159856533,0.0677402078494958,0.14022028336974424,0.027054270762974966,0.05296769575125315,0.021751378683718497,0.017845397933499794,0.023716870130880443,0.023528762059168633,0.0164581593341595,0.008319312128023223,0.007886173611587343,0.00421417091826325,0.042263454110518225,0.04214628894703953,0.007511120162651829,0.046087204200071785,0.00543084951425655,0.017139684430073052,0.006416351630362951,0.0,0.008090510858336859,0.0012499578477965278,0.02022721563387037,0.028792776184648025,0.02134600452032429
ind10,0.08435111054315521,0.03290942090337965,0.16118740845120014,1.0,0.1690575696871896,0.0313253909365638,0.0,0.0,0.013163710167696772,0.03237636696164015,0.021284820304969462,0.039259988274264995,0.04651201919415963,0.0,0.05761473406594025,0.09161369927088295,0.032504912912170704,0.07582900816345862,0.018051409444258867,0.013388767278626779,0.014943341938833966,0.0046204427146040155,0.005878051957867924,0.008321581864573716,0.0027885309381369496,0.0021649936475070797,0.01455427248913948,0.03514236657059657,0.004530976190977385,0.026488448544369908,9.773106342506386e-05,0.003085003641831124,0.0028849709171733765,0.0,0.0027468423965427958,0.00010598216479514921,0.014624132362038767,0.015143844271702551,0.04941857136670009
ind11,0.07360449276399443,0.019066570272383256,0.4130171734489208,1.0,0.14214891210315106,0.030483219067526546,0.12976039613770968,0.0,0.011390432917258168,0.02636819231356166,0.008339776933100436,0.03832510726712755,0.15575446812984672,0.10097532460841921,0.03841038906144932,0.1337856130921593,0.04172463318085934,0.04548851056592901,0.017585375738127032,0.015951001419465444,0.01564882641532499,0.0034954701699510243,0.015991755848790524,0.005651129193043725,0.002645556690394715,0.00599319230445933,0.028887333748185813,0.051474308576495334,0.00793640450544203,0.04553567566411593,0.0035469306990189705,0.015822403394031875,0.0040930826624602235,0.0,0.00441851980155258,0.00014385172824347812,0.008810200517952591,0.01606466664972866,0.027512135953548938
