Sensor,Lag_Minutes,MSE_Test,RMSE_Test,R2_Test,MSE_Train,RMSE_Train,R2_Train,Outdoor PC(0.1),Outdoor PC(0.3),Outdoor PC(0.5),Outdoor PC(1.0),Outdoor PC(2.5),Outdoor PC(5.0),Outdoor PC(10.0),Outdoor PM(0.1),Outdoor PM(0.3),Outdoor PM(0.5),Outdoor PM(1.0),Outdoor PM(2.5),Outdoor PM(5.0),Outdoor PM(10.0),Outdoor Pressure,Outdoor Temperature,Outdoor Humidity,Outdoor Dew Point,Outdoor Wind Direction,Outdoor Wind Speed,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,SolarZenithAngle
ind01,-130,8.323171171656996,2.884990670982663,0.8601794072342515,0.6231266653420502,0.7893837250298806,0.9873416685611823,0.026099201835756404,0.009283690416085788,0.05893246449194587,0.6013792143050216,0.026624457763596877,0.003136880089103733,0.024557788643858956,0.0,0.11869718332508199,0.010634522356586573,0.03521070718242527,0.037838547516595746,0.11654637000394272,0.003964786095009609,0.03667879270705725,0.18930199077948195,0.0931712755487952,0.7165335719163942,0.153245471633493,0.006755698415671807,0.04060184734096408,4.7153564780599845e-05,0.0007109970468938132,0.00027166583800073416,1.8700950572347887e-05,0.00026660297531868606,0.013052618722911946,0.34372600092515615,0.0002675547003769818,0.061354585833587084,9.527200330650132e-06,0.04268759524702288,4.722172212212605e-05,0.0,0.031956355686831486,0.0001173749324145934,0.002130854971081897,0.005398010016967003,0.011652876319326478
ind02,-140,0.9207123708050561,0.959537581757513,0.96933371124182,0.4554844257857131,0.6748958629193937,0.985616683683564,0.035092262295072695,0.0032900502592162705,0.10172320894867126,0.9831789619665067,0.04406096855443935,0.0028598364405232777,0.0,0.0,0.0013042457261516205,0.0020394167566773814,0.001213383638268528,0.002368171742634706,0.04421715939491122,4.853177501014105e-05,0.029160704736332366,0.03547942346196091,0.00625728124111089,0.01940809873877345,0.002643748710144478,0.0030300336422216523,0.002844285076134745,0.00045708947392082423,0.001482563263419312,0.000628377745214559,4.066367854833608e-05,0.00035770096476239743,0.004037512794108844,0.04238584431151007,0.0010351198550301976,0.017329480080079195,0.0006391443659366613,0.0035707799687930476,0.0006716391958543122,0.0,0.0003044756264956261,1.8897068325252065e-06,0.0035205960409181005,0.0023529428180968813,0.02107766611468089
ind03,-110,1.0161329309946454,1.0080341913817434,0.9714682341419505,0.5338871619369313,0.7306758254772984,0.9850302627053754,0.017448789278772737,0.005779643036877768,0.09914956494871192,1.1550548098558244,0.015318501420882558,0.0034090290495656815,0.0,0.0,0.0013799892668178604,0.002722937908185563,0.0029294185745460943,0.01713573126212984,0.018010564512427885,-0.00010949569385529934,0.01347041983743591,0.025057166980754265,0.006165898495672062,0.01673302757515136,0.0014933483787360035,0.003925987323775115,0.0008423469574099229,0.0005056519516990488,0.00048157066152691995,0.0009446035223829918,0.0001328453752416525,0.0002340928824992039,0.0030625830728062907,0.030436045859815852,0.0007015934776386512,0.022687268382281765,0.0003301735325757393,0.0014879321490561814,0.00025426993268191645,0.0,0.0006096863302480048,4.300596037314364e-05,0.002144591287300379,0.003276537612762076,0.017166740329792284
ind04,-160,1.1347149667452505,1.0652300064987141,0.970506625401173,0.6012261699859602,0.7753877546015028,0.9839691229919386,0.01998822122785706,0.0025785191565624197,0.19224725231783096,0.712315757423167,0.04808932914417363,0.006008060053017572,0.0,0.0,0.000767777565205141,0.005882120146836267,0.028811305642935103,0.002235644868435127,0.06046043040874072,0.00010753093724349405,0.02393020882382526,0.04310651173820899,0.018221215920337985,0.012967201762909464,0.002056052354756943,0.0030032258438876134,0.0010816289531658362,0.0001020862076787088,0.001938183740853483,0.0021447174015956525,0.00011657245351923696,0.001022944079032695,0.004381138201936285,0.02896241228582992,0.00021693018923232276,0.019818929144614826,0.0008426925243181227,0.0009964894333565288,0.00033669336450776745,0.0,0.0005680290244453268,1.0261269806521867e-05,0.003338158148561954,0.0025727077526363383,0.01172277554506893
ind06,-100,0.7731437392963648,0.8792859257922674,0.9851554151591403,0.39783787495664746,0.6307439060004048,0.9911406034774997,0.004803287572197323,0.0009488505970134175,0.03054100367883259,0.5700794590786866,0.008608854295697198,0.0033040035168071524,0.05162269906343984,0.0,0.0008790669756846281,0.0029686897606186146,0.002943644292469161,0.0013005433603365591,0.28963510439635953,0.0015628195718251803,0.007980669119536876,0.014222343293735729,0.010431374153332684,0.013786376085485741,0.0017684306658587445,0.0010141641307232386,0.0005708032561782872,9.161462580291602e-05,0.00029832406369973975,0.0006814116073564191,0.00015560382613857282,0.0006356387420892951,0.0046336004067289325,0.02973671017433006,0.0004695408083556396,0.020249435959419526,0.00032074815686942146,0.0036250616139863246,0.00012655115729465205,0.0,0.0003781967117549412,4.563052694561698e-06,0.0010648961795900914,0.0010648447164105733,0.0033615917642972892
ind07,-140,0.76862151916755,0.8767106245321485,0.9774032698265925,0.42343861150571693,0.6507216082978319,0.9868653562964123,0.011157876994865968,0.003711236592785405,0.1457460641897837,0.6816182416441042,0.029461040963885955,0.0026839318779865893,0.0,0.0,0.001485840868994348,0.009382460702116924,0.0024681236537326345,0.014453775039340977,0.07517034918520456,7.886233894487394e-05,0.01513437392832473,0.020070599577002878,0.004615521782787524,0.01301501221493211,0.001204453546130657,0.002956412805526365,0.0005602686951601931,0.00011859783637944155,0.0008294427236784196,0.000479208912920881,0.00016172311841422538,0.00025426703403561566,0.0027232353245195016,0.02375466406292137,0.0006956671940006709,0.009727651532967396,0.0007703166009472406,0.003979609997662647,0.0001473798181797159,0.0,0.0003226270982319646,1.701386436991914e-05,0.002467461984974095,0.003021291771829038,0.012901584219571128
ind08,-110,0.8794400057900519,0.9377846265481493,0.9803728864732498,0.39557707770104106,0.628949185309148,0.9917159814893518,0.009946041837205044,0.002243162459509862,0.04437083531357415,0.6466138985046417,0.03306587065666999,0.0017586648360291112,0.03315552680211973,0.0,0.0011392044630096575,0.001381832564348473,0.005545955280964243,0.09872342423314442,0.09675249755130462,0.0014147113967207137,0.010495818670203216,0.03016459375572189,0.0022215968913754437,0.0076576794686199715,0.0017551532057845875,0.0013285170432521642,0.0005701846952456124,0.00016528253444312302,0.0009750076334171575,0.0003499139426484055,2.7146832986257862e-05,0.0007222799176721528,0.0021296417541127877,0.01055528864198001,0.00025150637154076617,0.005751993174679027,3.534160231193351e-05,0.0005523229527281126,0.00010308519108153114,0.0,2.936922146021814e-05,-1.8218859978880175e-06,0.0015559259191290087,0.000974685936741948,0.003520568676819735
ind09,-80,1.486896985106456,1.2193838547014044,0.9431699028874563,0.7890726957518097,0.8882976391682068,0.9690205131546452,0.06175662202051271,0.003157659448308503,0.1766964089546311,0.9649814140182714,0.08781099194273405,0.004819694062550228,0.0,0.0,0.0009354365873288639,0.005147337827277654,0.011391360014569751,0.003195801869691839,0.009760380109865996,0.0015488327757070097,0.029542335653831398,0.06480390252943997,0.011206316035059127,0.01852708428173071,0.004971548894983057,0.005031223123515271,0.0021711545317591786,0.0004309375015307371,0.003345298378209405,0.0016691588395993718,0.00029278043355120966,0.00032624040112645415,0.011939561223217442,0.022399840792560632,0.0005029213727211657,0.016569444031977864,0.0003509045463047977,0.0020662730081965285,0.00016260449928700015,0.0,0.00042880557026407916,2.7629757939195976e-05,0.00295745501821727,0.005805131350602543,0.01027598892446977
ind10,-110,1.6062065750320778,1.2673620536500523,0.9618205668173848,0.5732799105029557,0.7571525014836546,0.9857930899964736,0.018800598911406154,0.006053383305795213,0.0667217953222756,1.1505603353219218,0.08454241327419106,0.0042399023856395605,0.0,0.0,0.003710518180126088,0.00841586408888979,0.003723641560521629,0.006725716745739296,0.010598550402010432,0.0,0.022249016700697233,0.032317631804141114,0.010456889993179596,0.022292556666933083,0.0032120713264282676,0.002339728211717018,0.0023068074843079823,0.00033095543085988056,0.0008183850290384598,0.00035946361294447726,8.589959564044846e-05,0.00011137072623501609,0.0029854290477214773,0.007432776920323092,8.641487473355358e-05,0.007914424384871176,1.514310981105549e-05,0.0004038118776416022,0.0001537997966657656,0.0,0.00012989887613914508,6.825835773605071e-06,0.0028440223597694823,0.0016858869263919995,0.012135326483555708
ind11,-140,1.617731068712641,1.271900573438286,0.9597377714155734,0.8431938640619052,0.9182558815830723,0.9800052519171762,0.028778170370758294,0.0019836795483545444,0.17748349979892658,0.6967868247089222,0.06683495752695882,0.004396043546523587,0.020757508195499087,0.0,0.001241736144077832,0.0060253467083527966,0.0015000024904944453,0.003924904482089953,0.03797766454144029,0.013339081581788625,0.02442461005015384,0.08676633839545704,0.0545301648279737,0.04874445488826229,0.012294387360445792,0.008572871585266827,0.01404286473365941,0.00015697298229309098,0.0014962505295211149,0.0005640276135729039,2.8835731351239956e-05,0.0003987148075219604,0.03941888827135842,0.09693970737220596,0.0003270889694138246,0.05328529373487538,0.0004500583542590642,0.03918402801223857,0.00012973358311938466,0.0,0.0003803166260262225,1.9022729838624742e-05,0.0017628116590264532,0.004529759014383683,0.008399837645833163
