Sensor,R2_Test,585nm,Outdoor PC(2.5),Outdoor PM(0.3),Outdoor PM(2.5),Outdoor Dew Point,Outdoor PC(0.1),Outdoor Temperature,Outdoor PC(0.5),Outdoor PM(5.0),Outdoor PC(1.0),645nm,SolarZenithAngle,Outdoor PM(0.5),Outdoor PM(1.0),Outdoor PC(10.0),Outdoor Pressure,560nm,Outdoor PM(10.0),Outdoor PC(0.3),680nm,705nm
ind01,0.8589958078489992,0.7855842573038224,0.8573104452836745,0.6004032521732799,0.7480195876290173,0.9101842558836964,0.890019138029914,1.6217890067329714,2.200645688357297,2.8067303628843976,5.357819007336309,,,,,,,,,,,
ind02,0.9693276586365156,0.44054830297267644,0.8425812068820681,,,0.4741954951440341,0.6083213309412895,0.7296173840640073,2.3398292316874647,1.3311076615769883,4.724571469544207,0.7014652462209182,0.46625364961198223,,,,,,,,,
ind03,0.971576593564117,0.5298549109957089,0.46028984480738944,,,0.4399025733254556,0.6252540791327579,0.6376082580714312,2.363855536788016,1.1680682936534705,5.0557533703724244,0.43538313966054754,0.5145830242745963,,,,,,,,,
ind04,0.9683751966554501,0.4500439600862697,0.471533711891422,,,,0.878399307562532,0.6907586187926321,3.563434453145395,1.2976742967040653,6.238540093515635,0.8899958635218493,0.4350608512151944,1.2136509079043523,,,,,,,,
ind06,0.9823059676968567,0.6601205207171639,0.7552914006536514,,,,0.7404484615318969,0.47964998292133687,1.8298589539353602,4.110307523288143,4.774022186717184,0.5625521745579986,,,0.8759923938251588,0.4886794359815864,,,,,,
ind07,0.9749857690380723,0.7903562130198707,0.7447239360436128,,0.1502431695656935,0.42405402237166906,,0.6115693467258201,2.3729718102747066,1.1390144176952972,4.460263267543298,,0.4354383753054708,0.19844818403182957,,,,,,,,
ind08,0.9780842872585296,0.3759197736053451,0.4340376200552306,,1.9002781204713308,0.37844896438978715,0.451421441041918,0.7325902975275574,1.5554423846088592,1.4375209764733303,4.8449428699543,,,,,,0.29401284005499784,,,,,
ind09,0.9420914071766798,,0.6349601837893085,,,0.47575148107179094,1.027294134035259,0.9309925223578559,2.152849584511151,,6.66217262816471,0.6609823175098798,,0.44293398468489187,,,0.528650343000577,0.45429718866774826,,,,
ind10,0.9576950550371433,,0.9545729862622762,,0.5664472743871292,0.5076565845508314,1.140155881737645,0.8670609774022853,1.5419451914951439,0.41219914935575275,5.704344846776847,,0.3120102743634604,,,,0.38661388578967304,,,,,
ind11,0.9512982558629474,0.8786802945205308,0.9370431131054218,,,,0.7544214474551229,1.3428679408512725,3.8135139863062886,0.2792978617326709,5.1898606542743515,1.0951284086885023,,,,0.6297289812610768,,,1.343531182064933,,,
ind12,0.9480653945736487,0.6709950800937623,0.5421278991686799,,0.5342633978997526,0.5562909113867825,0.9877488839867383,1.2514239882893587,2.5977466239970872,0.7802523146908281,5.6506162768878285,,,,,0.2515206133034455,,,,,,
ind13,0.9589944559651895,0.8895089676808255,1.0169544818511262,,,,2.3472942852866727,1.4207240501935057,3.1802537380084996,1.2352527393744666,5.406700553445048,1.1692394588518984,,0.6260789706646928,,,,,,0.93342102567343,,
ind14,0.9530125546673551,0.48733037907511007,0.7385324558285058,,,0.5835099210945677,1.516477043545606,1.0002006563496637,3.0951669687497945,0.43708132789802845,5.692112646821711,,,0.35299708279422054,,,,,,0.3459111120151197,,
ind15,0.961376481820247,0.4753848234327655,0.7739650985803639,,,0.6341340719371207,0.6577416188135601,0.8435330866188924,3.130586710025555,2.437357444812661,6.392654022591907,0.8307542570371647,,,,,0.2784055452616531,,,,,
ind16,0.9725985196096644,,0.6255237346755416,,0.40209349626634394,0.41724764144109866,0.6787855439441901,0.6619272450804817,1.8166949941524377,0.3096486706248048,5.49423112725789,0.29744453529197123,,,,,0.23485991399354136,,,,,
ind17,0.9346355702837772,,0.787330299470028,,,0.573703117338228,1.1441837520017044,0.6994562234953562,2.8638116243067597,,5.277319997930376,,,,,,0.5620990783460337,1.1575103757728993,,,0.6639796820907576,0.8276105905805176
ind18,0.9672237871118137,0.5784795837710214,0.8036710613479394,,,0.61981208269426,0.6589828178382501,0.7774256189492613,2.95023551432683,0.7850074191216486,6.421322878842288,0.5422043650163175,,,,0.06075783911285928,,,,,,
ind19,0.963972414972675,,0.7639077099133367,,0.13691691506281845,0.39170230184697,1.3274579428115991,0.7009365560362883,2.9085744133843643,0.003692710083369173,6.259336538525548,,,,,,0.4586639046867822,,1.0115194714820817,,,
ind20,0.9615333336989751,0.516668301846339,1.3535505895659814,,,0.653791458989196,1.2797935060239953,0.6680683776529202,3.683003092741709,0.6123397228796339,5.544893314921245,0.6566522453963671,,,,0.4508931593784153,,,,,,
ind21,0.8859566718799922,1.1409755405451836,2.5460099408040686,,,0.8492192104083413,0.9687351604558325,1.4995890632592022,5.22129659862778,0.639123749213169,5.209979942254509,1.6080340120344445,,,,,,0.5926671530800441,,,,
