Sensor,R2_Test,Outdoor PC(0.1),Outdoor PC(0.3),Outdoor PC(0.5),Outdoor PC(1.0),Outdoor PC(2.5),Outdoor PC(5.0),Outdoor PC(10.0),Outdoor PM(0.1),Outdoor PM(0.3),Outdoor PM(0.5),Outdoor PM(1.0),Outdoor PM(2.5),Outdoor PM(5.0),Outdoor PM(10.0),Outdoor Pressure,Outdoor Temperature,Outdoor Humidity,Outdoor Dew Point,Outdoor Wind Direction,Outdoor Wind Speed,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,SolarZenithAngle
ind01,0.8601794072342515,0.9647431580893178,0.07204735664158166,1.2135040995953175,5.206153229124309,0.5315307344874071,0.18513472259681088,0.4000639620634212,0.0,0.5495417826027449,0.1299017248895765,0.426483348178502,0.5911737881658365,1.8110230078957483,0.16925038480341437,0.27429956826271146,1.121694684434953,0.3212177185499722,0.6794330007014906,0.23480207094326314,0.1410368297721033,0.07985420451566176,0.03174231934168841,0.06650087823880313,0.037286125458498125,0.024049785070292366,0.023964257207760062,0.11669145525024359,0.5009421934704941,0.040613546151819294,0.46133008917979207,0.01301759300905012,0.18096021077584779,0.021337278819270142,0.0,0.05089566012377939,0.013500551896652562,0.06622684208966637,0.14326053220424967,0.3177639852049493
ind02,0.96933371124182,0.660150664505971,0.0976824997745576,1.67505291826718,6.015570798204379,0.652324632813545,0.08231221960021841,0.0,0.0,0.05591583832204692,0.11810307077413416,0.07323693287185412,0.2590803609980293,1.0206869907371912,0.015177295211075713,0.28625886018871394,0.46712591210999127,0.1588019229798412,0.29566670130658007,0.07072783161300575,0.11953968687401914,0.09926601584647038,0.016134992495132602,0.09217572796228282,0.03699724898172325,0.018626590502604384,0.036890823051025465,0.10755472528085447,0.43282501295764136,0.06909900155628984,0.2984247692826496,0.05653113931599422,0.06457037043106557,0.05212278651436845,0.0,0.009599161022290664,0.00020279626316507346,0.07766007650708574,0.1321905850943695,0.40373238675921874
ind03,0.9714682341419505,0.4372783268933449,0.14702188881761033,1.8628070453002465,6.679256901645908,0.4178541100712224,0.08648977583193537,0.0,0.0,0.08030507242080988,0.184706033675508,0.09916631317002006,0.3506883939634753,0.7547203456111944,0.010754616283085123,0.23399126921771232,0.4793700987310351,0.1896041562466272,0.38126064697838496,0.05961954026927006,0.13916937823045863,0.1033307804228638,0.05677795179595007,0.06313841409068091,0.044633757767052404,0.02298780079055519,0.09029149296298382,0.10131803473953853,0.35815583260706824,0.06280143788874241,0.3792601179923519,0.01876362889843481,0.03957679415451827,0.0712111076057974,0.0,0.025187726837057268,0.013669165242054764,0.0918896136715955,0.10060479478323602,0.3993297304214274
ind04,0.970506625401173,0.41568099254489177,0.12073903845487374,2.3925134830540284,5.391960247852775,0.9073080880213913,0.1911393094599706,0.0,0.0,0.034110710288661625,0.3153710088867722,0.2211669637472704,0.1418356170410494,0.9589595631877063,0.016824579113097857,0.23925793684566332,0.5828003473355221,0.14011844138235593,0.24557805758507797,0.07239308996892203,0.10009486269222344,0.10639457118567894,0.014743933425650457,0.10716515354390956,0.09534794186972613,0.017274172255469605,0.0817162439833442,0.13212238136461726,0.3806801582919289,0.039404053037412796,0.36926105330370085,0.05685281861348549,0.04084934223094173,0.03538925840909273,0.0,0.029540160674050256,0.01236747603307243,0.12010981291241567,0.09848698676856865,0.3750269410594094
ind06,0.9851554151591403,0.2715731123930818,0.09708909576354445,1.1504570896987578,6.067514796262353,0.5931952074081959,0.15246134714518664,0.528098508836878,0.0,0.07937948408853122,0.20643445911265537,0.25519454965103705,0.18337536065442805,4.497475194587065,0.16500133380661705,0.16828194520128636,0.3694037840764554,0.1873833330150103,0.16277164929714671,0.05429464345578602,0.05003169576142355,0.06496318588346542,0.04803383888351322,0.030461113093155148,0.035088069897944864,0.01688175024503725,0.15188136361773483,0.11039451965095758,0.29461281164948966,0.049535868383466616,0.3965094188292708,0.022095039586840417,0.13899922717754037,0.035457630222415305,0.0,0.03972647695809246,0.0004960369860660286,0.06602442274530133,0.036736537207464885,0.08760244464743817
ind07,0.9774032698265925,0.21223113213603914,0.16727264422837956,2.2674517994396814,5.050523568015432,0.5276376076860823,0.11548384186452959,0.0,0.0,0.06085919820974871,0.3825422620771778,0.08533481565562887,0.5539370402925466,1.387991374739094,0.03430503651360052,0.27918842245823394,0.4737795409813312,0.13047206979894935,0.34479092199790107,0.04949155343380403,0.1626260847971844,0.05555794521768471,0.016773833832987587,0.05148060857100452,0.027511988725057328,0.03321820425201676,0.04229160217947151,0.08803176490935154,0.4173595459273328,0.07710440018457948,0.2008546367305086,0.02531457324527089,0.08988031872737692,0.01947620685538335,0.0,0.014026396614421392,0.005217200295943793,0.17395675368961805,0.08863378457980081,0.38144376054851126
ind08,0.9803728864732498,0.25495947509030165,0.046124220800445793,1.24850999417094,4.925726525317915,0.8045901751152633,0.10556428249771227,0.16497512160078515,0.0,0.04851518920429862,0.04505290377513855,0.129672372145974,1.8630656435008972,1.2237199545926982,0.11274231773571806,0.29862105641487746,0.6536284977807191,0.09590718779287657,0.28747769940697143,0.08341663338877917,0.08612586948721543,0.029822852458783033,0.018286948512597035,0.0654005120551303,0.012505564942402429,0.019051427690084093,0.058734873743259836,0.08093744382448757,0.23060619868967205,0.04723432079920849,0.14760110593017273,0.02887121772133866,0.038993982403896815,0.05182935872046982,0.0,0.010339117863838591,0.0032453396047104587,0.07051899772882406,0.06924900152091462,0.1410398554278884
ind09,0.9431699028874563,1.0003048083324972,0.06696858802110023,2.183644764886538,5.405623326175118,1.0164940479059943,0.13258650059066454,0.0,0.0,0.06450180089571692,0.24408036549364123,0.2264430244232259,0.16953222947629393,0.14019183604669466,0.11237290941215149,0.36617804767118534,0.7579780345863745,0.146245197108995,0.28632341168672076,0.11757975998917695,0.09646549933420373,0.12820446640335326,0.12718762502306608,0.08896661000263935,0.04497106769697389,0.04262968402906322,0.022780220616252643,0.228460313384549,0.22782696264383342,0.040602286356934976,0.24913006606210392,0.02935712681521202,0.09265067795848338,0.03468438004203172,0.0,0.0437342542164988,0.0067568012987845585,0.1093407086540237,0.1556429025690728,0.1153884599557045
ind10,0.9618205668173848,0.5318695749728859,0.20750787506857182,1.0163550648222914,6.305424689112706,1.0659797737869972,0.19751989340751677,0.0,0.0,0.08300278309171918,0.20414674358369875,0.1342098314542819,0.24755089935882582,0.29327803416733816,0.0,0.3632853666360425,0.577663281243572,0.20495728039385952,0.4781341002248009,0.11382180278311213,0.08442186375543763,0.09422411719897703,0.029133853567295094,0.03706361393902769,0.05247110774135566,0.017582871823683337,0.013651204396763312,0.09177086908509392,0.22158754580808865,0.028569729140370648,0.16702091742796155,0.0006162358602136374,0.01945225812920458,0.018190966848517134,0.0,0.01732000786426246,0.0006682625585049453,0.09221136525245135,0.09548836955887129,0.31160507999626896
ind11,0.9597377714155734,0.4723418257035746,0.12235582739819517,2.6504535039636092,6.4172961182966395,0.9122116618596415,0.1956198433952242,0.8327108864431586,0.0,0.07309578094563911,0.16921249818031853,0.053518818140245276,0.24594356209863996,0.999522543737023,0.6479885586533517,0.24649084062630242,0.8585418955802501,0.2677593265488798,0.2919132422818319,0.1128505634630705,0.10236229949207978,0.10042315301096298,0.022431467153248404,0.10262383273319102,0.036264969434512316,0.016977320680003707,0.03846008971161215,0.18537857473017233,0.33032588061994694,0.0509302578260051,0.2922159146833459,0.022761704606681626,0.10153704788264434,0.026266523481673264,0.0,0.028354949971120206,0.0009231391372671352,0.05653766558527221,0.10309172293303322,0.17655352326075902
