Sensor,Feature,Permutation_Importance,SHAP_Value
ind01,585nm,0.34372600092515615,0.5009421934704941
ind01,Outdoor PM(0.3),0.11869718332508199,0.5495417826027449
ind01,Outdoor Dew Point,0.7165335719163942,0.6794330007014906
ind01,Outdoor Temperature,0.18930199077948195,1.121694684434953
ind01,Outdoor PC(0.5),0.05893246449194587,1.2135040995953175
ind01,Outdoor PM(5.0),0.11654637000394272,1.8110230078957483
ind01,Outdoor PC(1.0),0.6013792143050216,5.206153229124309
ind02,Outdoor Dew Point,0.01940809873877345,0.29566670130658007
ind02,SolarZenithAngle,0.02107766611468089,0.40373238675921874
ind02,585nm,0.04238584431151007,0.43282501295764136
ind02,Outdoor Temperature,0.03547942346196091,0.46712591210999127
ind02,Outdoor PC(2.5),0.04406096855443935,0.652324632813545
ind02,Outdoor PC(0.1),0.035092262295072695,0.660150664505971
ind02,Outdoor PM(5.0),0.04421715939491122,1.0206869907371912
ind02,Outdoor PC(0.5),0.10172320894867126,1.67505291826718
ind02,Outdoor PC(1.0),0.9831789619665067,6.015570798204379
ind03,585nm,0.030436045859815852,0.35815583260706824
ind03,645nm,0.022687268382281765,0.3792601179923519
ind03,Outdoor Dew Point,0.01673302757515136,0.38126064697838496
ind03,SolarZenithAngle,0.017166740329792284,0.3993297304214274
ind03,Outdoor PC(0.1),0.017448789278772737,0.4372783268933449
ind03,Outdoor Temperature,0.025057166980754265,0.4793700987310351
ind03,Outdoor PM(5.0),0.018010564512427885,0.7547203456111944
ind03,Outdoor PC(0.5),0.09914956494871192,1.8628070453002465
ind03,Outdoor PC(1.0),1.1550548098558244,6.679256901645908
ind04,645nm,0.019818929144614826,0.36926105330370085
ind04,585nm,0.02896241228582992,0.3806801582919289
ind04,Outdoor PC(0.1),0.01998822122785706,0.41568099254489177
ind04,Outdoor Temperature,0.04310651173820899,0.5828003473355221
ind04,Outdoor PC(2.5),0.04808932914417363,0.9073080880213913
ind04,Outdoor PM(5.0),0.06046043040874072,0.9589595631877063
ind04,Outdoor PC(0.5),0.19224725231783096,2.3925134830540284
ind04,Outdoor PC(1.0),0.712315757423167,5.391960247852775
ind06,585nm,0.02973671017433006,0.29461281164948966
ind06,Outdoor Temperature,0.014222343293735729,0.3694037840764554
ind06,645nm,0.020249435959419526,0.3965094188292708
ind06,Outdoor PC(10.0),0.05162269906343984,0.528098508836878
ind06,Outdoor PC(2.5),0.008608854295697198,0.5931952074081959
ind06,Outdoor PC(0.5),0.03054100367883259,1.1504570896987578
ind06,Outdoor PM(5.0),0.28963510439635953,4.497475194587065
ind06,Outdoor PC(1.0),0.5700794590786866,6.067514796262353
ind07,Outdoor Dew Point,0.01301501221493211,0.34479092199790107
ind07,SolarZenithAngle,0.012901584219571128,0.38144376054851126
ind07,585nm,0.02375466406292137,0.4173595459273328
ind07,Outdoor Temperature,0.020070599577002878,0.4737795409813312
ind07,Outdoor PC(2.5),0.029461040963885955,0.5276376076860823
ind07,Outdoor PM(2.5),0.014453775039340977,0.5539370402925466
ind07,Outdoor PM(5.0),0.07517034918520456,1.387991374739094
ind07,Outdoor PC(0.5),0.1457460641897837,2.2674517994396814
ind07,Outdoor PC(1.0),0.6816182416441042,5.050523568015432
ind08,585nm,0.01055528864198001,0.23060619868967205
ind08,Outdoor PC(0.1),0.009946041837205044,0.25495947509030165
ind08,Outdoor Pressure,0.010495818670203216,0.29862105641487746
ind08,Outdoor Temperature,0.03016459375572189,0.6536284977807191
ind08,Outdoor PC(2.5),0.03306587065666999,0.8045901751152633
ind08,Outdoor PM(5.0),0.09675249755130462,1.2237199545926982
ind08,Outdoor PC(0.5),0.04437083531357415,1.24850999417094
ind08,Outdoor PM(2.5),0.09872342423314442,1.8630656435008972
ind08,Outdoor PC(1.0),0.6466138985046417,4.925726525317915
ind09,560nm,0.011939561223217442,0.228460313384549
ind09,645nm,0.016569444031977864,0.24913006606210392
ind09,Outdoor Dew Point,0.01852708428173071,0.28632341168672076
ind09,Outdoor Pressure,0.029542335653831398,0.36617804767118534
ind09,Outdoor Temperature,0.06480390252943997,0.7579780345863745
ind09,Outdoor PC(0.1),0.06175662202051271,1.0003048083324972
ind09,Outdoor PC(2.5),0.08781099194273405,1.0164940479059943
ind09,Outdoor PC(0.5),0.1766964089546311,2.183644764886538
