Sensor,Outdoor PC(0.1),Outdoor PC(0.3),Outdoor PC(0.5),Outdoor PC(1.0),Outdoor PC(2.5),Outdoor PC(5.0),Outdoor PC(10.0),Outdoor PM(0.1),Outdoor PM(0.3),Outdoor PM(0.5),Outdoor PM(1.0),Outdoor PM(2.5),Outdoor PM(5.0),Outdoor PM(10.0),Outdoor Pressure,Outdoor Temperature,Outdoor Humidity,Outdoor Dew Point,Outdoor Wind Direction,Outdoor Wind Speed,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,SolarZenithAngle
ind01,0.012601086281883495,0.0012851575275186185,0.10155359275158753,1.0,0.18658212862197598,0.006847580299176217,0.04571388361208191,0.0,0.0029970100735219416,0.013650937172919597,0.003851639704327246,0.003110895268468571,0.07794576865227984,6.431553248455272e-05,0.046858010910131385,0.14225610070414235,0.1943457981492055,0.2324960523489587,0.012170556692340198,0.010083874805663924,0.013417348487923454,0.00025739898830346504,0.0011657074015483924,0.0010232537365327467,-3.452234160008413e-06,0.0002251247491245335,0.07011512390003245,0.18282150675101058,0.000545442043861859,0.06652688438129968,-0.00016124488058206655,0.20832257188660788,5.387767724399497e-05,2.455974188892927e-06,0.001780209187404215,0.0,0.0028288753575805583,0.004022363088397,0.030639689644808083
ind02,0.023598442126158598,0.002504066984122489,0.09531153571724793,1.0,0.0945762171197753,0.007719663796284362,0.0,0.0,0.0008671529866631857,0.0016678912663147282,0.0019052154092927614,0.002098040022018883,0.022391935986818073,4.105442950412181e-05,0.039466451319112576,0.0643696658003859,0.007383669762514323,0.028005062233483282,0.0026127767831085748,0.005518919062715924,0.0012822042440200025,8.402782465610847e-05,0.002659138503187415,0.0011435986844785333,0.0003721503709933802,0.0007853819669194518,0.005295566706999233,0.06984188092253982,0.0012540535780947051,0.046766147546464555,0.0004782537075733445,0.004286911754126712,0.00012563442571406918,0.0,0.0005964596802106835,2.1863657464723873e-06,0.005613640200268799,0.002364310745441758,0.027440428137648246
ind03,0.019537506159021355,0.003718652421893615,0.1204314280852312,1.0,0.03455917950817197,0.005409523049287454,0.0,0.0,0.0008732758958403614,0.006117336784361793,0.01360011770773292,0.01119583275116974,0.07531281716801484,4.4025049203277635e-05,0.01742407754856265,0.049584033255442965,0.007690559999835601,0.030848312143301224,0.0019703026370725026,0.00489706644288872,0.0005125895544326089,0.0005812821984513609,0.0009380867138300418,0.001130622085276215,0.00018470850190404587,0.0003906007659246752,0.0030960532455734423,0.04634273468351382,0.0005867149415867725,0.02668841718100825,0.0005780798277408859,0.0014687036082241401,0.0003588668921184397,0.0,0.00023119832731720365,3.554156132363775e-05,0.002058583431476739,0.004578845150844907,0.02545212738950504
ind04,0.03227406428531224,0.003657448735230353,0.1300354303336438,1.0,0.06942291474513669,0.0927004877017309,0.0,0.0,0.03800575845819502,0.0108851345603535,0.0032707444857321055,0.005268424635278794,0.04272563937534091,0.00016751589387231403,0.0264440071931331,0.0856799350024587,0.008150972276232104,0.06903912056704668,0.0015535107003807962,0.0047053230879027935,0.0017169950980916897,7.31488425860429e-05,0.0024160279148838595,0.0019182431414799138,0.0005239869076427419,0.0003652174074438577,0.006255796969072589,0.041421240219867234,0.0004642509293798002,0.037773617359819586,0.0007978064921440078,0.0009392208152162762,0.00040372530513986304,0.0,0.00044137636275445337,-6.426749048871712e-06,0.006949525146673615,0.0027966583272128454,0.014806816726694406
ind06,0.007611388544269829,0.003127649169374047,0.03151260015370143,1.0,0.02521422528077491,0.0033232321372278378,0.06227141731332314,0.0,0.000508340832072188,0.004180548299361249,0.0010379627469119027,0.003992487455533951,0.07594516533563549,0.023389866472773566,0.011979891507107788,0.023909261161282485,0.014406306469706916,0.020910547615948655,0.001844507192025579,0.0019831255941976022,0.0016013052757040062,0.00023244466125081002,0.0013976274485351112,0.0015261077933486364,8.063061294344077e-05,0.001475696024092008,0.005911805177160897,0.06302063362998939,0.0004916697001716682,0.02887503853087751,0.00022684235997908164,0.00245737938436901,0.00012628158713011328,0.0,0.00019758252726403294,5.9860897875266554e-05,0.0023190131567954173,0.001237021760938029,0.005532150960949897
ind07,0.01841736789272404,0.00999046098720792,0.11670334005950933,1.0,0.0503782096735863,0.0015700872458102623,0.0,0.0,0.0008019632860566707,0.004830857380957376,0.0038689093992019595,0.006234020340274556,0.00902059571290806,0.00030240977906881414,0.020516319826447575,0.02482098271003967,0.004653618216316743,0.0145428042880626,0.0015674883031843662,0.0034761004363549446,0.0012724584337221309,0.00015990210490353826,0.001395035442780702,0.0030182654326462283,0.00010125838581443495,0.0005763691822617241,0.006206194040897197,0.023245946250513877,0.00047110815265524666,0.0185568965160113,0.0007044668586673392,0.0014475756843973149,0.00013543760907027493,0.0,0.0005763886121161811,7.5787376066053255e-06,0.002898342335709672,0.002233273212898605,0.014267856359401964
ind08,0.012188766915672588,0.0029473141541737995,0.07565348478229578,1.0,0.11124730407061895,0.002693875916184454,0.05714400157180681,0.0,0.0005983973247969144,0.011322370406203862,0.003828476836427225,0.009482206051303645,0.034954946833470266,-2.98582053872324e-05,0.01507537154028529,0.03541145040109752,0.004089178184559911,0.015309123174747571,0.0021704902738227147,0.0025584187828367935,0.001183243968011284,7.843549320277775e-05,0.0016358819983588334,0.0003840996458182924,3.5699645228732705e-05,0.00021235673627734467,0.003246019660589379,0.01903222763302869,0.0004408181103259857,0.005008010982837365,8.208086722335153e-05,0.0005640266098700738,8.558103375840584e-05,0.0,0.00017266057958221685,0.0,0.0016213876920133435,0.0015734215093108049,0.005207204283603964
ind09,0.08118456547115717,0.005469286990835501,0.18638707897151097,1.0,0.15725639774617858,0.013748957156259465,0.0,0.0,0.004070991451511285,0.005407044400038253,0.00702225446478403,0.00416280525008117,0.007358149461120134,0.00024514780338638273,0.04773008069994307,0.10815745554448054,0.014924776985409002,0.027434696508254985,0.0070162467661100385,0.0063756574770548625,0.0021226518174848525,6.885430046055276e-05,0.005016029085653767,0.003073173081287177,0.0002946454188140672,0.00019628017770900597,0.01430894940450514,0.03297720794776251,0.001457112939821097,0.023979733333668287,0.0008393996350991079,0.0031662249445708907,0.0002617771935150411,0.0,0.0007487626782062266,2.36952380811793e-05,0.002393876537947559,0.008505711109403177,0.013800001943309574
ind10,0.026574138460166034,0.007581169969296406,0.1635176783328656,1.0,0.28549505448712853,0.009257705805313172,0.0,0.0,0.0026580784702798024,0.004433236542112241,0.008730249280454157,0.0069453416503152616,0.011319505271216168,0.0,0.0391907138970983,0.044021238769974255,0.01520005407328065,0.04043661452663146,0.005608531914926413,0.0034226135039796763,0.0005789701195286367,0.00028089249121125297,0.0015309628832048808,0.0007819835608039231,-1.350454029095646e-05,0.0007424767457899195,0.005396473527217278,0.012483557101286149,0.00023231156675367415,0.018392368120329163,0.0,0.0009150572498778537,0.0006282272773381121,0.0,0.0002755431007001893,0.0,0.003953114929194042,0.001725424685772823,0.020784244605586356
ind11,0.07237977979900381,0.013608928775254154,0.1323796077313873,1.0,0.09250487812874514,0.015634544725981858,0.08038405915027026,0.0,0.030780290812955607,0.005100999967115589,0.021066794604317856,0.019092595455077962,0.03554977185517515,0.00015894095685056706,0.03378435130335504,0.12093737028921629,0.052252233385271026,0.08624997243945223,0.012883769325086737,0.014798396060706827,0.028042985170164646,0.00047724211040437575,0.005157157690582989,0.0013985147750108112,0.0004374753356641052,7.061315164269488e-05,0.030314494363989877,0.1349306376658205,0.00138737764280905,0.07114405067329245,0.00098700625488989,0.05498697054919641,2.3482816708390922e-05,0.0,0.0004755581665054309,0.00020827865650631307,0.010403371761401856,0.004380956306369489,0.023405360501219358
