Sensor,Lag_Minutes,SHAP_Samples,MSE_Test,RMSE_Test,R2_Test,MSE_Train,RMSE_Train,R2_Train,Outdoor PC(0.1),Outdoor PC(0.3),Outdoor PC(0.5),Outdoor PC(1.0),Outdoor PC(2.5),Outdoor PC(5.0),Outdoor PC(10.0),Outdoor PM(0.1),Outdoor PM(0.3),Outdoor PM(0.5),Outdoor PM(1.0),Outdoor PM(2.5),Outdoor PM(5.0),Outdoor PM(10.0),Outdoor Pressure,Outdoor Temperature,Outdoor Humidity,Outdoor Dew Point,Outdoor Wind Direction,Outdoor Wind Speed,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,SolarZenithAngle
ind01,-140,1000,13.761974970120892,3.7097135967781787,0.8016477121400978,0.8338362089868119,0.9131463239737714,0.9851289565315512,0.4892296579760392,0.1275036568301667,1.3419348357061616,6.632309449425951,0.7856171360696419,0.2008774577310244,0.0,0.0,0.06225529606119932,0.2204862187267572,0.100873527725424,0.1293798013912624,1.1965989319087222,0.011855069099068676,0.24710613978580157,0.7944024321366977,0.3800339163139232,0.3705298452144446,0.1952873608226088,0.16873555641800125,0.09791973530334698,0.012245469605408189,0.08718823487112,0.04936984730440574,0.02487299770490153,0.03866549653021853,0.13177816316560143,0.5314109060131587,0.04637283316497687,0.3188911543328029,0.03405826731837823,0.17426002386514117,0.03281943914310775,0.012494513562427548,0.038197037167834284,0.0,0.1222989661545151,0.14208224503250722,0.3553896410538731
ind02,-140,1000,1.1778106448931502,1.0852698488823644,0.9630503184385331,0.57313709279521,0.757058183229803,0.9828934174929997,0.5291815351932692,0.08523276628353926,1.419779908388699,5.93656832691095,1.154594571047904,0.2861663348040942,0.0,0.0,0.038264108898270734,0.12365687688781078,0.0693557509407993,0.10616737994875522,0.73794436750383,0.02193697523958048,0.3461698133118908,0.6778427891480959,0.15618391254047256,0.3682934143864438,0.07136892481208662,0.17151033322294915,0.06615739619119247,0.016802279140220505,0.1095585907316803,0.06601698832846256,0.10516985003289549,0.08512771229976565,0.12028262846477242,0.4743486623467651,0.10342071546401733,0.4071492423461038,0.019813465815064813,0.05772850299426475,0.03313296224878056,0.0,0.03917861308168152,0.0008007196416164515,0.14657486605324083,0.1404941452852968,0.4404435788513529
ind03,-110,1000,1.422735845901173,1.1927849118349767,0.9620121995920892,0.7572054467108075,0.870175526380056,0.9799315943200263,0.6028572873948411,0.1608669349278087,1.8537641200100046,6.294480632554147,0.691603627361302,0.23474047422090205,0.0,0.0,0.055904336612608775,0.1978745802381728,0.3164766620210651,0.2489420194307457,1.2118307411048994,0.018669460230660066,0.2711888443706434,0.660770511819869,0.14302791572698748,0.4440843771132911,0.05652067192439473,0.19676648794328935,0.04154926359249103,0.060778396152139216,0.0443777768855274,0.06326361967305737,0.04379280074078582,0.07599489473315192,0.10102548035870586,0.5219952690782623,0.06557254040510851,0.3695696449484123,0.020024323469426016,0.05499288333664616,0.07630111330241189,0.0,0.009825206364599295,0.008629552439999544,0.078068435356204,0.15607637128468846,0.510602649123663
ind04,-160,1000,1.6192579697582987,1.27250067573982,0.9602161482163197,0.8135656985123532,0.9019787683268122,0.9797653114748051,0.6623119062982391,0.1624401458459549,2.1957018664200354,6.37201948609334,1.0655353221446848,0.5370402427219462,0.0,0.0,0.3021401157342204,0.6775627306559064,0.13844306570764106,0.12922376669771754,0.3265451140941335,0.030422993892761804,0.3164155550807618,0.5109334109458473,0.1190218086521057,0.4059108410811151,0.09198428087090962,0.13724447872294607,0.08086971591794052,0.038248744910678575,0.08980688135703492,0.0715138587252551,0.06682949748522128,0.04338516264839674,0.21130605694646562,0.3755153217228522,0.03582501411217993,0.5260610840439057,0.02651845831339017,0.04763986180031671,0.06964742382666923,0.0,0.024969074230470026,8.82200419344008e-05,0.17406342457289983,0.06859969838512682,0.3579790654715067
ind06,-90,1000,0.9575212279032187,0.9785301364307687,0.9822391835816483,0.5002020439708068,0.7072496334186443,0.9901123246791355,0.21815689058797288,0.07307730532830888,1.1534631301476586,6.987681072575231,0.8036018213815611,0.13439519178164025,0.2165641563039927,0.0,0.03827192379866494,0.14486588560198352,0.05490227897827488,0.24758656881987848,1.0937852388029066,0.9275480285420873,0.1716284056807694,0.3716093888054857,0.15622417829694452,0.15326719764261623,0.06148718745292898,0.05620152725760213,0.05655629288364434,0.040890877414999416,0.09072118702850444,0.05136128442963699,0.011668734984998588,0.10436880175639533,0.1485494545522681,0.3898328748596113,0.040721577795261456,0.31586784432581,0.048618014846071665,0.11830543774518182,0.03303909811155946,0.0,0.022514592909621434,0.04504719470370527,0.07413383632515137,0.06060180104932991,0.09698878977953661
ind07,-140,1000,0.9556679485999813,0.9775827067823885,0.973042992323839,0.5206364732050099,0.7215514348991414,0.9846284339311772,0.38311023339731565,0.17096196095340518,2.132567560152246,6.990916350411317,0.9853082941425039,0.10722236337000553,0.0,0.0,0.04974486622895345,0.09487962998655344,0.12241988029293434,0.30856693691064707,0.1400182262795902,0.08984082182802247,0.2535387493188685,0.4776347048098558,0.1672908539953074,0.32707536457768044,0.05931779876999287,0.21209155681129777,0.05407344793074616,0.02768456842718092,0.0780088727049601,0.06936058038750287,0.03000391835010028,0.05869789665442644,0.09205546505182115,0.343370638930596,0.046032813524142006,0.3028453057908553,0.018728103295430773,0.05367090574030767,0.034047193797437064,0.0,0.045688513370510775,0.00035393354322761297,0.13086598559742246,0.11287345951575314,0.38169015743864027
ind08,-110,1000,1.20283499801379,1.0967383452828618,0.9758130568452823,0.5396066419330283,0.7345792278121049,0.990030459816748,0.42136940369519016,0.15176861211027212,1.501419262647968,5.997399567404303,1.3677677038134117,0.13356308408083956,0.3823728017001043,0.0,0.05971318301980579,0.4684540058209992,0.12035831429694141,0.5298279293492754,0.5646039924261601,0.011462692580120672,0.36071591847355766,0.6657251365427711,0.10256037231757625,0.362628380016305,0.08498348358918631,0.1574818891124158,0.04344057141570842,0.012409617678744194,0.10608189299155521,0.01775108582812014,0.02231141062884587,0.03841463484686102,0.07773685457459853,0.3976515231571815,0.03538258093879868,0.10356586240058151,0.012022811938855925,0.03254415548409013,0.049772415805291355,0.0,0.003989195655559296,0.0,0.08178573625889266,0.08074526172779901,0.19489784950307792
ind09,-80,1000,1.9848204468202792,1.408836557880395,0.9277193522458637,1.0396626703650091,1.0196384998444346,0.9611211173230827,0.8625345394618545,0.13360177530816109,1.840094635535981,5.155347810101032,1.5466440948128761,0.23049150104486557,0.0,0.0,0.07310459395211712,0.19736917532032036,0.18561697839826102,0.09222369015157748,0.351041290033736,0.03476943500775841,0.3972670101328317,0.8476917347769665,0.17354779640927126,0.362471667963427,0.15399585242117814,0.1930841295997525,0.06063256291485169,0.034271422736257176,0.12276934640528461,0.11923847495285236,0.04540333167953187,0.02863313476130253,0.28503526423360753,0.2973446295211758,0.0907058033567934,0.2713665382566176,0.03450104354961543,0.08070114999419974,0.02966937364884884,0.0,0.03744955360023888,0.011056098271021617,0.09823023753559526,0.1549910942924204,0.1306108390862992
ind10,-110,1000,1.9960039603155133,1.4128000425805178,0.9558667326014473,0.735826820640459,0.8578034860272247,0.983027977512266,0.45745877310067584,0.12214751650007495,1.8010955325010423,5.1665328302574745,2.0540973961478586,0.16803371698699587,0.0,0.0,0.13596476238208846,0.12027491482412979,0.14048245195258155,0.32381077327727814,0.12724356011902851,0.0,0.42604877739996905,0.5547592785705389,0.24888205857479093,0.5280042574950836,0.15126261186673773,0.10475049060634857,0.046395672105367096,0.02654386114608957,0.04363866764666277,0.02684814426583936,0.008774569121091627,0.04399431825877857,0.0900574591608344,0.16051653408728317,0.021405938649296272,0.23045131360673868,0.0,0.04277605579249798,0.04651851701851813,0.0,0.016170760189073055,0.0,0.09686215871487634,0.09076303359013255,0.3684224632148578
ind11,-130,1000,2.550814878061282,1.5971270701047182,0.9459393366179114,1.3693819968958074,1.1702059634507966,0.9714580556069532,0.9599863956776639,0.24938139104938015,2.0275789406777225,6.325885433159021,1.0161748637347316,0.20020834004955318,0.45709195083551124,0.0,0.2642864029169093,0.33209725059584694,0.36527939756511324,0.4522534467995241,0.5639773110951096,0.026004375969576495,0.28454738685546227,1.0214529795196707,0.26852974147652625,0.41747586085602517,0.21416034560275737,0.10755162624532505,0.12904999222938643,0.009683009960865503,0.12932535955386268,0.03685784350570231,0.027462665023952705,0.03070974223713218,0.19738525104609517,0.41509191253550726,0.07385342645992006,0.33728513069849003,0.025737716267023713,0.16984474384572795,0.02324080518525566,0.0,0.021922678544568214,0.02815510078921333,0.09582936855996088,0.09981787869193746,0.21409068214697402
