Sensor,R2_Test,560nm,Outdoor PM(5.0),Outdoor PC(0.5),Outdoor Temperature,585nm,Outdoor PC(2.5),Outdoor Humidity,705nm,Outdoor Dew Point,Outdoor PC(1.0),Outdoor PC(0.1),SolarZenithAngle,Outdoor Pressure,645nm,Outdoor PM(0.3),Outdoor PC(5.0),Outdoor PM(10.0),Outdoor PC(10.0),Outdoor PC(0.3),410nm,Outdoor PM(2.5)
ind01,0.8438369216294583,0.06984078003222205,0.08842354066708302,0.22533633846689818,0.24707949847784474,0.2642752207180765,0.17275200125356838,0.17647915251491325,0.083398241032869,0.3070687469210037,0.5655091369320207,,,,,,,,,,,
ind02,0.9635281740162807,,,0.18881370021221036,0.08047511070416706,0.038571593206205734,0.0918563641346863,,,0.048140973745098736,1.0856310652720336,0.04146562825107205,0.02898005926742562,0.04550441704544994,0.07522643782919092,,,,,,,
ind03,0.9623496245086313,,0.07973453990918229,0.2322544740055144,0.07372932484824915,0.07248492710770335,0.03443734702050642,,,0.03883302359852838,0.8037239199761231,0.030826984510835855,0.030408634190701368,,0.10063361888652791,,,,,,,
ind04,0.9544863208183823,,0.25953826404560654,0.2944119669336128,0.04414618995114685,0.08319354922306825,0.11506706313862773,,,0.07151448514343176,1.4693128394778832,,,,0.16415326674671038,0.049571360737161486,0.3942848818143832,,,,,
ind06,0.9775531707602538,,0.00035831028540898033,0.05563515827603549,0.04528702368262081,0.043797124827997094,0.04431389662547065,,,0.05565776251742112,0.8574992513614245,,,,0.06804925152360053,,,0.08293832691356644,0.05039228435896039,,,
ind07,0.9725181299086627,,,0.19848054251586236,0.04375923197868303,0.02619314831521837,0.0710408541915533,,,0.017971261250966042,1.0899115797672132,0.02944632903115174,0.016892890319184107,0.025995305543356762,0.04406620616994568,,,,,,,
ind08,0.972502978332962,,0.06051336013339925,0.06780292828533319,0.041667689101751094,0.020022791190012268,0.08105597560660797,,,0.03214391931164684,1.0711171652272595,0.030705090651845058,,0.022126665171800685,,,,,0.04489740805034459,,,
ind09,0.9256466296363283,,,0.26022231746843005,0.07158203247436487,0.04585276728755792,0.22379280798047957,0.03166724910973127,,0.04407247873832476,0.7728446225343586,0.09792217158376579,,0.06783039104450628,0.06335581148404117,,,,,,,
ind10,0.95466314156037,,,0.222151715594375,0.03283916305305048,,0.1809061342114375,0.011620124827732291,,0.039267682609309774,0.7759091134470392,0.08653421488588442,0.017985953286504586,0.039928608380548146,0.02479720230575082,,,,,,,
ind11,0.9468155483942104,,,0.27497124854346566,0.1878533992799143,0.8816296217903347,0.11024379594549763,,0.13247628248935958,0.11119669457652588,0.5607604497575791,0.05980499266974,,,0.23917365737657142,,,,0.0621468861025893,,,
ind12,0.955672623992429,,,0.14755493731560745,0.1727062195156556,0.1892010032734914,0.0750610042548497,0.03159073062575921,,0.11820660964530534,0.911602888043182,0.05057298069614706,,,0.17877284666787474,,,,0.06691098324635165,,,
ind13,0.9528273064441797,,,0.31532671864424255,0.23939530645034668,0.13527386370404768,0.22830617123166733,,0.052021337390108904,0.17624753778318636,0.6928468826462519,0.23386042785768196,,,,,,,0.05572849104265112,0.24703608331398713,,
ind14,0.948705614225141,,,0.28531860412913934,0.12820510651015932,0.0664191402653013,0.173663070365292,,,0.05074704072563889,0.9060945706952841,0.5429374339568083,,0.05571042075327979,0.04826195602018739,,,,,0.09776085129691525,,
ind15,0.9515966142942599,,,0.20117122169401885,0.05293979610243427,0.519038898303797,0.09074783772609041,0.05886756295317732,,0.040154165713566045,0.8077132435564547,0.05868713106320356,,,0.3738554402326374,,,,0.04592397044819454,,,
ind16,0.9679414256298462,,,0.17224528306672027,0.06886508101961597,0.042569008387946014,0.08369807040745822,,,0.04076379657858002,0.9780860611119773,0.04784616820529031,,0.034105147125460866,0.05567826694767029,,0.019915586338898828,,,,,
ind17,0.9548038015157382,0.35234330902845096,,0.06119189734864183,,0.2542921087004986,0.16788793160362997,0.15481176959766801,0.6159716359059655,0.09319000286579522,0.47858116718459687,,0.07853234871583226,,,,,,,,0.10680348630573541,
ind18,0.9607652757893381,,,0.18130224325648986,0.10935874798929086,0.28288823976985317,0.12634127661122263,,0.029055867692315183,0.04960485040993956,0.8751362199773596,0.064516121259157,,,0.12302772552210776,,,,0.019730125209602777,,,
ind19,0.9649981217679771,,0.03072533785263276,0.18297103209945148,0.04765076592604674,0.020780515534193446,0.0722339820481255,,,0.03655037790065059,0.8996095440511878,0.04027631966217045,,0.03612289639955153,0.03597692170425755,,,,,,,
ind20,0.9558947224312365,,,0.20826243341926015,0.11127584698927614,0.122138935457337,0.15141537360861512,,0.11610521531536773,0.07187987498586175,0.8589222189712007,0.06973510657785327,,,,,,,0.0523151029548762,,0.030622484975765384,
ind21,0.89082078061136,0.22229606883991354,,,0.47206930290592375,1.0638301821488814,0.22485081086959502,,3.693456127115604,0.6044406505405372,0.8071884957374194,,,,0.2289718539934767,,,,,0.11769026922226407,,0.8694067791351185
