Sensor,Outdoor PC(0.1),Outdoor PC(0.3),Outdoor PC(0.5),Outdoor PC(1.0),Outdoor PC(2.5),Outdoor PC(5.0),Outdoor PC(10.0),Outdoor PM(0.1),Outdoor PM(0.3),Outdoor PM(0.5),Outdoor PM(1.0),Outdoor PM(2.5),Outdoor PM(5.0),Outdoor PM(10.0),Outdoor Pressure,Outdoor Temperature,Outdoor Humidity,Outdoor Dew Point,Outdoor Wind Direction,Outdoor Wind Speed,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,SolarZenithAngle
ind01,0.08729412259789116,0.03375483867583443,1.0,0.499672323704609,0.048491742350125856,0.047706481775092936,0.0337187560933492,0.0,0.010513040887155073,0.04688034844080229,0.020252582242899102,0.0827863032689755,0.06042146503715781,0.012670696395737103,0.04517916492731625,0.20243877284622008,0.06208647080695546,0.13313251594296993,0.030892367827398223,0.0196422578710655,0.025235648173023567,0.00709244524059967,0.01621607882476798,0.006811804232218905,0.007919717724560944,0.003459627199830184,0.024424383708275398,0.06465221743899285,0.012615554890372917,0.04816989868266978,0.001276123478224617,0.04593754147083128,0.027958327828748467,0.0,0.007178689138825819,0.003443077106033605,0.02166693319688091,0.017012723842719988,0.061173955550873946
ind02,0.10080437613298691,0.02470993321609515,1.0,0.5810456639406716,0.051579892542607496,0.01927999722843969,0.0,0.0,0.009413711757262739,0.02916741914482927,0.010768727838841302,0.03034680928346794,0.12400246892822829,0.0,0.043299466285052574,0.093522223875189,0.023100248228288742,0.053480063218033204,0.013098033575807381,0.025830565905790772,0.01872715721798316,0.0070702871476016425,0.015941214083965153,0.009003752476538384,0.008444991621114594,0.016340437356648165,0.016629079499889107,0.08456275066421433,0.006906792991164705,0.04145408967508414,0.003751113613274801,0.012509160025227863,0.013082443795055434,0.0,0.0028320555220265535,5.022823378682206e-05,0.028558418570883697,0.01607201536148468,0.06410268184213634
ind03,0.09296262666398682,0.008220196639998479,1.0,0.5487241342240355,0.051965302532666846,0.020012024022858826,0.0,0.0,0.008487043912652925,0.01827006007401328,0.023549285011017315,0.02106702472953653,0.039028655457613665,0.0,0.04619889312500722,0.08930259972958689,0.029710935491093427,0.061818926994322114,0.010390917355402903,0.02647132449989843,0.013151960159221186,0.0013370484343848165,0.008377343266817137,0.01111999471601106,0.006847212461730246,0.0045371529362251105,0.015623282363110466,0.06626909024489379,0.008994561777465241,0.057243347268724314,0.005443181875354236,0.008934355719683821,0.011265938833440008,0.0,0.002387880362700448,0.00011661660397923025,0.018573334325797417,0.01786169601263258,0.08338350814276656
ind04,0.07394606753334655,0.030257421943758776,1.0,0.6382308198411676,0.02970304265907906,0.07329395637786087,0.0,0.0,0.017058806063286622,0.02924390997462928,0.023775055545499826,0.013724991630727112,0.042904941770335436,0.001307415784222719,0.03838025427696127,0.06001330188990624,0.02576212148694292,0.05068722186052416,0.010330721490719511,0.020431119450083694,0.014658223150511253,0.010571546067568676,0.009402422681338111,0.010645722796203873,0.006828079944704123,0.00333091740961994,0.02706981742480186,0.08103162465563048,0.006354803199244262,0.039427601862092654,0.0015905428843295067,0.008703631063714178,0.006358880686086316,8.425645579338631e-05,0.004041071003131035,0.0029475107090420854,0.03593122564829877,0.013979420971732229,0.04518559432581506
ind06,0.045353905471623525,0.03452909821700083,0.9324490139110342,0.886865934066311,0.05635324056977518,0.03228039341527683,0.022182957638038542,0.0,0.015229407293427238,0.04255798753476365,0.03604176567471351,1.0,0.21767773560441053,0.009088005958044022,0.050841901102155695,0.11916545851622797,0.07027983530358108,0.03766123168748675,0.013072517979624514,0.013774855752027491,0.022655755638002317,0.014757026057715861,0.017345112210597435,0.011445137474170896,0.0071747331314481865,0.00892503148759201,0.03411047509769396,0.0994036522377041,0.020864447874893315,0.10121324912509924,0.007121128816328987,0.027321520014635094,0.011200765285494055,0.0,0.007454308414125547,0.0001515195927023314,0.026231557300889115,0.013825478561211578,0.029961658984008918
ind07,0.03333227102124664,0.015662805353656918,1.0,0.592234954943584,0.040000615195824284,0.028945938237463043,0.0,0.0,0.01178632153379447,0.022872530191974178,0.010979373705371435,0.08408751902776383,0.1967076356128703,0.00380204210961032,0.04614733233330435,0.09476502728132881,0.020132035417812263,0.055301314726199244,0.009455146677941784,0.028553637984131883,0.00829619780378735,0.005967357412654358,0.015222439835827425,0.005550918121887545,0.00589871026397467,0.012264462488435235,0.015959912893663424,0.06817807126238702,0.006000187671325368,0.044550971714964964,0.00766333712569153,0.0061160118350064045,0.0040396317098710475,0.0,0.0030073396395550287,0.003654412363788828,0.01579391131484872,0.013375862464525034,0.06810398119333051
ind08,0.07069863917687863,0.015331224449129034,1.0,0.6577082722598183,0.06492391420133686,0.021337518292832744,0.01089894566277728,0.0,0.011565717028262703,0.04217718853054748,0.032062616420470105,0.3981810267654429,0.17195602202633622,0.002055369392527899,0.06880070838071237,0.15580786804582397,0.030513411916373655,0.06503258317556489,0.020374293538623058,0.017702052454961176,0.009978037909148252,0.003500632494367021,0.011463145858624619,0.002603616662040414,0.0066036932089403285,0.009630782116823677,0.020291410357020014,0.07191151119224347,0.008924883614758999,0.02628384701570827,0.001293090878055298,0.004867564148640234,0.005967747326439823,0.0,0.0015536293158049965,0.0013881527280356569,0.01946957807902648,0.02295262273931833,0.039983500108529975
ind09,0.17723869068221057,0.03488372133026747,1.0,0.7954161862490594,0.07779646944038232,0.047703976247531296,0.0,0.0,0.013527595523645458,0.05832822069444067,0.02476835882130768,0.010151165892231216,0.3253109504437009,0.007231487869110455,0.07389720174438483,0.15877218822793562,0.05363595766977892,0.10802014737566945,0.03608892663686413,0.02106591716618133,0.0133068682990784,0.007270518437633242,0.016060893759157674,0.016867656731099124,0.0181080930131044,0.00565938151622567,0.03582280841057601,0.05965231441555138,0.024836647626726004,0.10005148841842425,0.005062379238426788,0.02133557839064657,0.009278340172485848,0.0,0.0046680634897952236,0.002149311718569896,0.028328329334697776,0.04119402320666082,0.041560352850176514
ind10,0.11598208112544245,0.018212045143862484,0.4346823941904223,1.0,0.03945953098089564,0.03496192122430112,0.0,0.0,0.01960499101745404,0.04866090787742051,0.027180090751966368,0.0883219646574147,0.10983491027756619,0.0,0.05733496140757579,0.13817692730682077,0.02570412361782163,0.061999195044445315,0.025882721021956233,0.021051358097850754,0.00722705522272745,0.0032992847111559093,0.00897078657081948,0.002838485579889613,0.010159099370737522,0.004733783517785573,0.01579752289993237,0.04089721481853484,0.004558611760036559,0.04124271389049529,9.071941835409447e-05,0.004012488827832168,0.009155286728861756,0.0011219884264439955,0.0019158043172488452,0.0,0.01826577503359817,0.013441104087923511,0.06704574224324944
ind11,0.05802608385575073,0.017394606759988933,1.0,0.6664613733037013,0.053993759350846014,0.024916256851782052,0.060020293771799425,0.0,0.009500104764626089,0.0212316493769046,0.030697329540861712,0.10484595095555982,0.12523024446861922,0.002651442340690595,0.045103552728878504,0.17536112883898827,0.04023545685400261,0.05405600716820553,0.027835352203345976,0.019580700861065004,0.017948896595842166,0.0013134386269932415,0.025682095500343217,0.008443127612628503,0.004688931861804107,0.0038358633398422,0.04313896272600941,0.07777788336353834,0.013863632140094903,0.035599952770292174,0.006665839168895095,0.05134905953058586,0.011866491294670753,0.0,0.0038844270644485777,8.88953305764337e-05,0.022195539796354802,0.016466597852209348,0.03954018793125183
