Sensor,Outdoor PC(0.1),Outdoor PC(0.3),Outdoor PC(0.5),Outdoor PC(1.0),Outdoor PC(2.5),Outdoor PC(5.0),Outdoor PC(10.0),Outdoor PM(0.1),Outdoor PM(0.3),Outdoor PM(0.5),Outdoor PM(1.0),Outdoor PM(2.5),Outdoor PM(5.0),Outdoor PM(10.0),Outdoor Pressure,Outdoor Temperature,Outdoor Humidity,Outdoor Dew Point,Outdoor Wind Direction,Outdoor Wind Speed,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,SolarZenithAngle
ind01,0.04458039273869202,0.0721575146855374,1.0,0.4709896718920276,0.05094909007738531,0.012679814212683427,0.010199049532659816,0.0,0.0021918372275982335,0.004507674807396034,0.0026967910636168293,0.025030639199619665,0.02759743869966461,0.003381679643534477,0.04654064735542024,0.4727402723827401,0.17162726651853663,0.7689221274539456,0.14658892062196324,0.007153940171672954,0.09795189962649535,0.0004820278358118474,0.0007313778817998382,0.0015568449860648616,0.00024500715714765865,0.00042764258037478187,0.04320799589661406,0.21236206906750713,0.0007769244330304399,0.043508749196009146,-7.309655469225024e-05,0.19221441557812358,0.0006477361612213184,0.0,0.010640919218698352,7.329538042155336e-06,0.0035966450842272795,0.03616102457536201,0.043225626103329855
ind02,0.030086297128917423,0.00317770375436536,1.0,0.5918877737713695,0.00948263330045584,0.003872070429013963,0.0,0.0,0.0014880185066771072,0.00557540525980981,0.002540081757837503,0.0023723352847879525,0.027795119447853876,0.0,0.038650466592574304,0.05752037320747119,0.010624016879048175,0.02619493604999973,0.0036832552599730737,0.004984712459491881,0.0031375174522796936,0.00021355985290018163,0.0028153708276605722,0.0009389054662611501,0.00046610240226356873,0.0014699960464992477,0.008203311672454309,0.05108213202384098,0.001699421290560561,0.01893005082900653,0.000623109038071593,0.0042316228742055526,0.0006663816664941914,0.0,0.0005910676682279527,2.8977196801351276e-06,0.01264121073060837,0.0038811114966641335,0.02675112783365513
ind03,0.027437882239371825,0.0011133661699403964,1.0,0.4424059645638301,0.009530288217294338,0.005686220643845877,0.0,0.0,0.001173312992092396,0.0032650441907937557,0.0034703389777512982,0.002052593387869392,0.005942885530949122,0.0,0.020359082177989585,0.03317015910883846,0.008276849034171415,0.023618237972952094,0.0014555673248204696,0.004222467818174043,0.0011166428338398873,0.00012133975568175759,0.0013847512207184444,0.001903201562511137,0.0002700733592844401,0.00020026160009467263,0.0029006311284560165,0.032829056231854184,0.0005638403325806915,0.020461834565311175,0.0005766015288751822,0.0018496096879715884,0.0004253158086669622,0.0,0.0003334882159200994,1.7478578477018567e-05,0.00230332912838024,0.003134636257715958,0.022601776386145172
ind04,0.01540446327802812,0.0023686303949451626,1.0,0.48225938807680097,0.008004995922026546,0.01758697788610254,0.0,0.0,0.0024053927566852133,0.0030524956302279936,0.005645903986576906,0.0026965331632505377,0.010334597046815103,9.074108362625894e-05,0.020520601728727793,0.02529144150352803,0.007952057478895004,0.015575284371421727,0.0017273430780533137,0.004306847688762387,0.001295479093593918,0.0003915267606643975,0.001298552408168125,0.0022438812631662424,0.00021953196789911285,0.0001121454703602619,0.006222144132055401,0.038207249859875836,0.001151807232571432,0.01966460757517435,0.0006129603496179485,0.0013606860494250854,0.00020688274700350897,2.3371508579646184e-07,0.0006314127880280289,2.6405383235757614e-07,0.005974358593351771,0.002010977944734225,0.012577518585419625
ind06,0.025825573709765803,0.008131786579125397,0.897750769702628,1.0,0.0229053283681711,0.0056528220825516375,0.03865483977105631,0.0,0.0033771428736570647,0.004551196524546898,0.0196635493675444,0.814404426680815,0.09322046866712026,0.00024813398674268674,0.038826553038476375,0.07373014727131086,0.034572710994996855,0.059091295373779044,0.004852015630182723,0.004301264549710584,0.0053935026819051934,0.0017012107469637327,0.0026742310582206596,0.004295844186569012,0.0004728244781893668,0.0016038243516117245,0.024548277817200467,0.09370857650448752,0.0019533515423837775,0.059731650835988685,0.0010310273731501658,0.008244874811500814,0.00045847542244613446,0.0,0.0010995975127556378,1.7448663580627475e-05,0.007730830717202961,0.005490100433776864,0.015537988101611982
ind07,0.05314085424968022,0.0020612788928184946,1.0,0.5676455293588853,0.010489584394609671,0.0046014444708063346,0.0,0.0,0.0013860935741541781,0.003889399494669281,0.0025793384963640003,0.023303534278823052,0.058863941281509194,2.8399927225624447e-05,0.03187509467423174,0.03736979844560151,0.007992299203949458,0.02480273103334496,0.0022916699862340646,0.004807800438211506,0.0009236070759435989,0.00022917167895282763,0.0017385403102652907,0.0015927206989811045,0.000275678832799253,0.0003385815944411964,0.00802216602113943,0.03605642022273463,0.0008549822866706384,0.018354689690844136,0.002252932671475392,0.0012410191207255054,0.00026332388560084075,0.0,0.00029604162592452427,0.0001380318379979533,0.0032960552154864945,0.0033097014128950926,0.02238750231854537
ind08,0.020457211882347847,0.002662302892311609,1.0,0.7888033480549455,0.01566606486695752,0.004671663659232693,0.017153997559521857,0.0,0.0024223564382726613,0.009301682649616616,0.026018134386990046,0.2323988509459887,0.04055728960471567,-4.316848691756128e-05,0.0277535748838715,0.0651876159766636,0.0071198011644031806,0.0249834990056487,0.005071502767118478,0.0046600141983447535,0.0021018542102495294,0.00029811071457150356,0.0016096801093804052,0.0012739584312574967,1.2578293223972273e-05,0.0006761884666259903,0.00911153811398346,0.03540185879622016,0.000499424058072359,0.01220135497189151,0.0001966775652374371,0.0013734719028799698,0.00021845195529557213,0.0,1.5623237253872492e-05,1.4643896553823075e-05,0.003952831426291324,0.004461466254413355,0.009622238060170343
ind09,0.08605604522043676,0.01176909883713507,1.0,0.990039965783014,0.05027304928447599,0.018287211100526217,0.0,0.0,0.0050303725027457495,0.020022436496740115,0.008330706947213502,0.002319205103317125,0.1468833961048198,0.0008437396685562785,0.057587269719652334,0.10840151169546222,0.0247807778654255,0.059362271041571955,0.011521001500247095,0.009128765591319591,0.0037641644059952816,0.00045689737776986536,0.004869083352457124,0.003436904602519721,0.0005654840649427842,0.00044726114894812685,0.0197454730301095,0.04491036204809499,0.0028733744501222656,0.048797573907462456,0.0011242334049156677,0.0036109459078770305,0.0002566263417946791,0.0,0.0013128637062539987,9.056254039692189e-05,0.005653767940259993,0.009341310268310352,0.017780801386239053
ind10,0.030094648079771694,0.004300048053085048,0.20602452160538198,1.0,0.01430386664785498,0.003511694864457843,0.0,0.0,0.004945133164185274,0.009383297189962558,0.006083128283989375,0.0139703737553784,0.018784955393626825,0.0,0.022744272830504467,0.0498973086239785,0.006527071635762335,0.016122073889310588,0.003763146533066759,0.0029003732573168912,0.00037379502094386026,0.00013706548431016604,0.000755094102389958,0.0002529135305042076,5.8165018940219737e-05,0.00032577101596009185,0.0035493318213291676,0.010681333623396344,0.00020236492767337672,0.009016494140684264,6.726949921843956e-06,0.0001664333858170266,0.00040047961938219194,1.5119184527806011e-05,0.00014747163249074536,0.0,0.003030572052099962,0.0011365628402373556,0.016398376617908182
ind11,0.03435845604289744,0.005406602147672197,1.0,0.6802435251772371,0.04233263349880759,0.00881416203188472,0.009207880509307797,0.0,0.003754195931112559,0.011856178244495731,0.008025117731299828,0.022629670531472648,0.03997319182288628,6.009497770509392e-05,0.04182622868811488,0.19457218032326662,0.07453610080416544,0.2627643969716752,0.021411207770720583,0.011430198805551083,0.018430545236648287,8.462087301311009e-05,0.004135773343576873,0.001688512538524262,0.0001649457153045285,0.00029034907729078604,0.08339180066863626,0.1561055142807314,0.0012798377072864684,0.0469978828831281,0.0015052437955012969,0.29029943798335883,0.000796877883315706,0.0,0.003035588343851024,2.9092787330192544e-06,0.009477078973834081,0.005081969843724995,0.016896970807281548
ind12,0.06406411543208371,0.007442332894849805,1.0,0.9455591707712454,0.03358989834715607,0.01971658413127824,0.029929958248135057,0.0,0.0025608543261376516,0.005633270596002561,0.014099212790653778,0.05496408849462968,0.00253410289402473,0.000976031484814759,0.03259408699698433,0.2833190984923612,0.07349007384781774,0.2494652736691649,0.0561495191173637,0.022043243110678696,0.0493414786680984,0.0005029130604687201,0.002839175644542225,0.0026690277801681515,2.1335406924354298e-05,0.000748341344353119,0.04121079541551093,0.1612632102221223,0.0009079073292515898,0.04506642148484633,0.002840180211636883,0.14142459349897693,0.0014208852246937016,0.0,0.001871931860720288,0.00011944185688027706,0.0043774171575358106,0.027217172250863206,0.030319021000729012
