Sensor,Lag_Minutes,MSE_Test,RMSE_Test,R2_Test,MSE_Train,RMSE_Train,R2_Train,Outdoor PC(0.1),Outdoor PC(0.3),Outdoor PC(0.5),Outdoor PC(1.0),Outdoor PC(2.5),Outdoor PC(5.0),Outdoor PC(10.0),Outdoor PM(0.1),Outdoor PM(0.3),Outdoor PM(0.5),Outdoor PM(1.0),Outdoor PM(2.5),Outdoor PM(5.0),Outdoor PM(10.0),Outdoor Pressure,Outdoor Temperature,Outdoor Humidity,Outdoor Dew Point,Outdoor Wind Direction,Outdoor Wind Speed,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,SolarZenithAngle
ind01,-130,6.046845950409736,2.459033539911511,0.8558972859863854,0.5401260169790012,0.734932661526892,0.9841522869524987,0.027253983854634022,0.04411310936081836,0.611344633376903,0.2879370082871395,0.031147452794245932,0.0077517363711401945,0.006235134197336789,0.0,0.0013399679263278897,0.0027557428025098306,0.0016486687440809388,0.015302346944681022,0.016871546043988016,0.002067371701874721,0.02845237499462312,0.2890072285023235,0.1049234083272548,0.4700764161037207,0.08961634993475007,0.004373522931451701,0.059882368165731004,0.00029468513056185586,0.00044712394300889803,0.0009517688272304925,0.00014978381066115264,0.0002614369965155738,0.026414976410366255,0.1298264112572357,0.0004749685826725525,0.026598840325921837,-4.4687186429448465e-05,0.11750925142136363,0.0003959900260068094,0.0,0.006505268858548385,4.480873747203518e-06,0.002198789670403767,0.022106848311557868,0.02642575454262728
ind02,-140,0.723962155936464,0.8508596570154586,0.967591432853334,0.38717383395522265,0.6222329418756473,0.983458010046459,0.021689400420184413,0.0022908265796161677,0.7209062759450601,0.42669561076693013,0.006836089858784233,0.002791399873177447,0.0,0.0,0.0010727218801859228,0.00401934464273399,0.001831160880638616,0.0017102313954495464,0.02003767605060045,0.0,0.027863363934791698,0.04146679803996807,0.00765892044385208,0.018884093796424306,0.002655281832822243,0.003593510495829233,0.0022618560222355867,0.00015395663824564477,0.0020296184987731447,0.000676862843146786,0.0003360161470248757,0.001059729375535734,0.005913818868205678,0.0368254295646411,0.001225123473839762,0.013646792446589794,0.0004492032161439008,0.0030506034874474564,0.00048039872555039054,0.0,0.0004261043915337437,2.0889843033389256e-06,0.009113128151239613,0.002797917635587699,0.019285055943890562
ind03,-120,0.8361800805714079,0.9144288275045839,0.9681184914026979,0.45934595655160776,0.6777506595729788,0.9825591696166251,0.023061287712405766,0.0009357740276839443,0.8404908043272418,0.3718381449954228,0.008010119609224153,0.004779216162528188,0.0,0.0,0.0009861587804513405,0.002744239618084232,0.0029167879986983667,0.0017251858675271237,0.004994940639932155,0.0,0.01711162135514288,0.02787921370905022,0.006956615502025887,0.01985091183067871,0.001223390951590808,0.0035489453727429953,0.0009385280335603374,0.00010198494884983145,0.0011638706672947752,0.001599623412071849,0.0002269941749723392,0.00016831803333943184,0.0024379537902126324,0.027592519877615372,0.0004739026146428849,0.017197983791809347,0.0004846282827806192,0.001554579934334699,0.00035747402611958635,0.0,0.0002802937788323412,1.4690584482646152e-05,0.0019359269517426724,0.002634632949521021,0.018996585214015614
ind04,-160,0.8891161387766114,0.942929551332766,0.9688662811219524,0.48269187070128766,0.6947602972977713,0.9825520388523936,0.014057009052451108,0.0021614423237417135,0.9125283236905158,0.44007535098573713,0.0073047855098762994,0.01604861544918732,0.0,0.0,0.0021949890200752666,0.002785488720524576,0.005152047300588625,0.0024606628872368974,0.009430612519147142,8.280380893133099e-05,0.018725630296636674,0.02307915671893117,0.0072564776811066874,0.014212888138456559,0.0015762494834544061,0.003930120501816714,0.001182161365653367,0.0003572792585890605,0.0011849658522499417,0.0020476052076376485,0.00020032913866345757,0.00010233591807733422,0.005677882754585295,0.034865197667457194,0.001051056723153021,0.017944511386605667,0.0005593436803256191,0.0012416645597509435,0.00018878636632360112,2.132716354630304e-07,0.0005761820530159722,2.4095660100531546e-07,0.00545177143231732,0.0018350743328869213,0.011477341950939279
ind06,-110,0.5760473018237147,0.7589778006132424,0.9827953783222144,0.3264404881409295,0.5713497073955053,0.989677229648312,0.0068820638898025475,0.002166978956777932,0.23923488491086564,0.2664825171802527,0.0061038695603904845,0.0015063782577304785,0.010300839003390428,0.0,0.0008999495338494867,0.001212814306043275,0.005239992132161397,0.21702454162464413,0.02484162514313708,6.612336938516261e-05,0.010346597587125772,0.019647795236929656,0.00921302305169216,0.01574679713464646,0.0012929773385290221,0.0011462118042650626,0.0014372741710925395,0.0004533429221049934,0.0007126358239162523,0.0011447673722510654,0.00012599945713234195,0.000427391150332479,0.006541686865167739,0.02497169734829412,0.0005205340359523581,0.015917440670106208,0.00027475076967879984,0.0021971149936047983,0.00012217568463872562,0.0,0.00029302351308426735,4.64976379239701e-06,0.0020601312294146632,0.0014630157831652558,0.004140602181234377
ind07,-140,0.6429139685089348,0.8018191619741541,0.9745443893167668,0.3497705358350297,0.5914140138980727,0.9853721480934554,0.03190877545987432,0.0012377084689322525,0.6004565773435291,0.34084649170319203,0.006298539943343418,0.002762967597776678,0.0,0.0,0.000832289003414477,0.002335415508490768,0.0015487807653371322,0.013992760433069695,0.03534524071084548,1.7052923098703764e-05,0.019139610250590144,0.022438941270663416,0.004799028625108903,0.014892962985054447,0.001376048316334999,0.0028868753956792005,0.0005545859436313583,0.00013760764196808496,0.0010439179642756536,0.0009563596195743873,0.00016553316838869848,0.00020330354534967566,0.004816962351934939,0.02165031467820324,0.0005133797375435955,0.011021194149966829,0.0013527882408995273,0.0007451780936487129,0.00015811455908067983,0.0,0.00017776014145385322,8.288212500868752e-05,0.0019791380334263087,0.0019873319824160298,0.013442723017464075
ind08,-110,0.7005750554540424,0.837003617348242,0.9768701100731064,0.3223944735440921,0.5677979161146086,0.9896230876637233,0.007951898489067698,0.0010348605894374475,0.3887088101154804,0.306614810837545,0.00608953743362699,0.0018159168222400713,0.006667909980085596,0.0,0.0009415912887965394,0.003615645994804284,0.010113478058991566,0.09033548082342016,0.015764975783757972,-1.677997118421093e-05,0.010788059069560573,0.025339000640553788,0.0027675294388739722,0.009711306171006994,0.00197133780610399,0.0018113885741598335,0.0008170092491023073,0.00011587826114376477,0.0006256968399838136,0.0004951988659506856,4.889293392373872e-06,0.0002628404142759999,0.0035417351386083594,0.013761014408554994,0.00019413053135635127,0.004742774172920549,7.645030235985395e-05,0.0005338806290955178,8.491419961034196e-05,0.0,6.072889963104622e-06,5.692211604890751e-06,0.0015365004003007777,0.0017342112391233843,0.0037402487070167024
ind09,-80,1.2270711556496574,1.1077324386554983,0.9366435149704453,0.6327794129396765,0.7954743320432637,0.9665518774682959,0.04070828738540071,0.00556730043196898,0.473043901577448,0.46833236813160006,0.023781359377723854,0.008650653687963339,0.0,0.0,0.002379587035086761,0.009471491479504634,0.003940790117208226,0.0010970858306314612,0.06948229477036968,0.0003991259047295248,0.02724130674937717,0.05127867402931481,0.011722395845584942,0.028080960300003156,0.005449939499756517,0.004318306891903778,0.001780615016790965,0.00021613251820076229,0.0023032901861521184,0.001625806762525417,0.00026749878836040963,0.00021157415892243404,0.009340475600655273,0.021244572884486602,0.001359232260578791,0.023083394748699915,0.0005318117561450064,0.0017081359406472707,0.00012139552597010273,0.0,0.0006210421698458202,4.284005744612518e-05,0.002674480445074079,0.0044188498551670065,0.008411099660920218
ind10,-110,1.3055561228164636,1.1426093482973363,0.9571397428953685,0.45436252371546676,0.6740641836765003,0.9844027983942587,0.027848165577397756,0.003979061321988641,0.19064535911710068,0.9253527571939303,0.013236122441126907,0.0032495565252498304,0.0,0.0,0.0045759926081699875,0.008682859926301911,0.005629039529953949,0.012927523873569125,0.017382710267257573,0.0,0.021046475574078304,0.04617261211175498,0.006039843734554973,0.014918605525157825,0.003482238020098105,0.002683868390549726,0.000345892253255764,0.00012683392382253355,0.0006987284095874236,0.0002340342327837197,5.382316064856951e-05,0.0003014531078325389,0.0032843839870630998,0.00988400151891804,0.00018725894378190944,0.008343437713305101,6.224801657683798e-06,0.00015400959245490676,0.00037058491999528707,1.3990579089329103e-05,0.00013646328173320122,0.0,0.002804348204285567,0.0010517215579378015,0.015174283016885814
ind11,-140,1.3754909126826282,1.1728132471466326,0.9515452332005341,0.6945303569132216,0.8333848792204126,0.9756521608506663,0.01809310716561525,0.0028471079124610553,0.5265983763363968,0.3582151358716799,0.022292296066515838,0.00464152341475641,0.004848854925701041,0.0,0.001976953481772581,0.006243444213106364,0.004226013967210918,0.011916747758901104,0.021049817910915248,3.1645917685474424e-05,0.022025624115436116,0.10246139423846483,0.03925058966191952,0.13837130480429657,0.0112751072474627,0.006019124132205423,0.009705495196613501,4.456121433287219e-05,0.0021778915276229327,0.0008891679612105241,8.686014586301027e-05,0.00015289735267209892,0.04391398683187231,0.08220491035739137,0.000673960458631151,0.024749008817503394,0.0007926589387014183,0.15287121269340528,0.0004196345994924355,0.0,0.0015985358930976413,1.532021457117949e-06,0.004990614400032833,0.0026761570682961146,0.00889791739211796
ind12,-120,1.0945792604031237,1.046221420351889,0.9615500091857128,0.6273175176799988,0.7920337856935137,0.9775628409350451,0.03061060098810626,0.0035560357171624092,0.4778119666782487,0.4517994869968628,0.016049655389777095,0.009420819839943206,0.014300892213139283,0.0,0.0012236068419483326,0.002691644102306734,0.006736772592117401,0.02626249922029631,0.001210824687558998,0.00046635952329923127,0.015573844810111015,0.13537325564814356,0.03511443671655552,0.11919749302979121,0.02682891215750547,0.010532525342680144,0.023575948961216953,0.00024029787849073615,0.0013565920984637049,0.0012752934127610248,1.0194312742406453e-05,0.0003575664494920083,0.019691011205860233,0.07705349162908012,0.0004338089865512984,0.021533275480825308,0.0013570720926428636,0.06757436315641803,0.0006789159636349628,0.0,0.0008944314438584344,5.707074853966709e-05,0.002091582301013295,0.013004690600605606,0.014486791052117453
ind13,-120,1.168205302192875,1.0808354649033658,0.9595229266372126,0.5639300107323711,0.7509527353518137,0.9802178997019659,0.12722580885803408,0.002961965187927018,0.8502473143768661,0.32884727687508314,0.018455232198126968,0.007047927976397616,0.00215043340851242,0.0,0.001405729058314864,0.025999827896377226,0.004709348467742558,0.007081087773522699,0.010555430263147359,0.0,0.01568839534776565,0.10097805833066698,0.019468333092049605,0.03999364279726221,0.009752194838557448,0.009434221223497042,0.00537300082465606,0.00016033287103454086,0.0021044537839779442,0.0012542349504175876,6.543790947370898e-05,0.0005518336340039731,0.008891119372297408,0.3476881977896168,0.0006687217728515993,0.06926132256484765,0.0004848777666506043,0.041906280680018074,0.00018572412443655927,0.0,0.0009839427344014774,2.5194158381469655e-05,0.0025320208629431296,0.0025041502126467385,0.012255932677756353
ind14,-120,0.8992838414404609,0.9483057742313188,0.9588851544465935,0.4789896211876073,0.6920907608020839,0.9778137623362498,0.43553945478416056,0.09763824463590084,0.5524250455732153,0.5664488666236259,0.024297042383332235,0.005677448240918048,0.0,0.0,0.0033017282219319766,0.0024782342301687965,0.0031735817356355334,0.016416989434260267,0.0017492460073386118,0.0004497698390664162,0.0167357162719191,0.06112280024188073,0.007776948803015204,0.021722565409814366,0.003043376841342993,0.003629289738443631,0.0036328955291134333,0.0002933708860377804,0.002858730014010069,0.0007771532650696855,0.00010907539325086813,0.000525037245302773,0.008210339017548574,0.026678173153157615,0.0008086620329982753,0.013023229621267585,0.0003500213982730926,0.0008648050790527329,0.00017049859393123424,-3.854014491522229e-06,0.000380064861299223,0.0003227199241000456,0.003421308926084987,0.003185033415637073,0.013543263421202045
ind15,-130,1.0713110247687008,1.035041557024983,0.9611233453256636,0.5826886365183422,0.7633404460123557,0.9786836819831495,0.02608453057016169,0.00505740401861281,0.6302159124808266,0.3722269258525849,0.017334742905697965,0.005658425980390324,0.00469893728449855,0.0,0.00247619453135699,0.0012988542798390234,0.002859385450487273,0.021867168761356214,0.004562137339813033,9.23524301845724e-05,0.02118228657247052,0.06536475948724554,0.03172229150869421,0.03516593172836546,0.004764649058667203,0.007054549739328064,0.014663317084585547,4.5227508366108005e-05,0.0021118521710595584,0.0012763621311870476,8.131288746615617e-05,0.0008682848889174588,0.012938460188317857,0.16876642259294866,0.0006316739638649649,0.10167581593810444,0.00018219197842426205,0.09847040728469263,2.344824964188863e-05,0.0,0.0003161100005466544,1.5251047102382565e-05,0.0010065351121119725,0.0030815259865375477,0.01285566227345929
ind16,-170,0.7333256680830028,0.8563443630240132,0.9711069650985964,0.41779219178216287,0.6463684644087789,0.9832045303581334,0.0342759957133862,0.002252007854539584,0.4145581728061879,0.5626814782179208,0.00590542151756801,0.0024900281355816345,-1.0059022439135034e-05,0.0,0.0016901879468594228,0.004421244624303156,0.003190081585587379,0.0163778561428356,0.028547318894758235,0.0,0.018210223272861547,0.02419449567742975,0.0060940696104795355,0.027132097820728163,0.0013439113553238347,0.002228886734627533,0.0010358261241790513,4.2330678391655496e-05,0.0010411165894538942,0.0013075984936296026,6.064377076762106e-05,0.00022057112164080016,0.005390224060650239,0.021209649151805742,0.00036495304608021863,0.022405012984347984,0.00033610027921506804,0.000858304253983233,0.0004341145743750774,0.0,0.0002202911635979854,3.272853034808065e-07,0.0017321219884677496,0.0018303472425208246,0.003592904229984706
ind17,-140,1.8731340452106056,1.3686248738096958,0.9530900125287627,0.6557613099718097,0.8097909050932899,0.9818367847444263,0.03475968180781519,0.0035653462859742023,0.37360774609585806,0.2689089794129922,0.025043766203884064,0.008860803533885787,0.0,0.0,0.004533129868945518,0.0027173520626070148,0.0026284369324897972,0.0017490647086501054,0.01945037577696098,0.0,0.042762725148141764,0.017937996737043393,0.114709206141726,0.024644313159293295,0.011687359999540736,0.015511835768553861,0.09847014294160902,0.0031570662662773197,0.001846991893152361,0.0019297859940390794,3.9436029707351494e-05,0.0010716895919195446,0.22299333982147013,0.09758795960499558,0.0008760633085993286,0.02139666559402529,0.02027811513938067,0.36480645688023183,0.00012163368938291618,0.0,0.0003738841491395473,0.0,0.0065655504400661925,0.009080206606666131,0.045600345610677454
ind18,-160,0.9346820582242221,0.9667895625337616,0.9675979969744984,0.5706623654428263,0.755421978395404,0.9799737635106572,0.020256491177664017,0.0033585623669023955,0.574560454401279,0.482567329649623,0.013612207790300656,0.005628964439810802,0.0017290911985131218,0.0,0.0016105342329988614,0.0029282231952464377,0.004102852249260836,0.016052969093864534,0.015285447115897655,0.00016335209588391741,0.010826960764016347,0.06204997995121706,0.014310421371279714,0.02245667536590328,0.007657824568719151,0.005759504803488191,0.013158272158417384,0.0001390619270379867,0.0022931680030342074,0.0017777201011986098,2.6086703947436618e-05,0.0004955079576189015,0.008942637413995369,0.06092775143539473,0.0003362258082255876,0.02180586028309499,0.0008982465609477241,0.05340177688797214,0.00015891223236785823,-6.123929964574337e-06,0.00042750507110460577,2.8978845063365454e-06,0.0009743025156417007,0.002192016507867045,0.008788834733252959
ind19,-130,0.8001525220956407,0.894512449379907,0.9681591899480608,0.4499945288978047,0.6708163153187352,0.9814424749394088,0.01973047374985688,0.0029571422571830876,0.38631329793357816,0.4169425543243027,0.010020225646010883,0.004202692101272021,0.0,0.0,0.0018852490444642989,0.0032375138097552325,0.0046519452728818415,0.004950241493639096,0.08896103951509352,0.0,0.012339411470182849,0.020933246620052293,0.006124862795825447,0.022911205418402903,0.0016415499939982149,0.0020258207612674274,0.0008518425408497121,0.00020567601083991692,0.0007955041259923856,0.0006730996023720737,2.879333596557121e-05,0.00025843261210789503,0.005953937582220981,0.019804925741114587,0.00044614331852212976,0.01260792744526722,0.00014002233056131796,0.0005368494242350197,0.00012029022228543518,0.0,0.00040599894059574205,-1.2062085387620769e-06,0.00137939877672566,0.0015145780329073766,0.005498236218498942
ind20,-150,1.0958810208549588,1.0468433602287206,0.9636983021572771,0.6661467578386451,0.816178140995362,0.9769526668927683,0.03433151095345925,0.002158865924347775,0.6800491340545822,0.3485698084366516,0.02715095085613677,0.004043708405713576,0.007479497365761212,0.0,0.0006836426093300041,0.005807814261717304,0.006645973286694429,0.00681139696799613,0.021528537055975572,0.0002355144001134013,0.01453683964914847,0.0684726808094032,0.013773521647986665,0.042174051100275854,0.009211422756196663,0.012862504984908507,0.00793039299194096,0.0001538583163515739,0.0023297177283412075,0.0006373678537660244,3.538466265626816e-05,0.00025979729851683954,0.012350431194454758,0.08692347835717126,0.0006625792252053619,0.029130673657721727,0.000575979102630586,0.028034216665161215,0.0001377588499863469,1.1759431469449133e-05,0.000484164816881516,1.7627414979459744e-06,0.001989943867114108,0.002916024261165262,0.00894513453369945
ind21,-140,3.1716395871189356,1.7809097638900562,0.9116781797719544,1.0352432034743402,1.0174690184346353,0.9736278625770175,0.06895172208358051,0.024705895250081822,0.6681445385156409,0.22435914628192086,0.017227206862133304,0.012248758885232825,0.0019865333021595877,0.0,0.015780877296774198,0.23289482127338626,0.15425370724467843,0.010982383574619803,0.019028610974030524,0.0,0.044131064263912625,0.22108389413381943,0.06867763343993982,0.45032535879595736,0.12841769817976303,0.022226150180396885,0.02004402330355424,0.000815112916474181,0.010309075515823562,0.0025481586883429495,4.9881300401488636e-05,0.0008981890310973961,0.08105107359731185,0.8817463330919869,0.0021679177214355195,0.1319775797688298,0.033733973903223816,0.8158345519362294,0.0009330380702983199,0.0,0.020615556933193925,5.554359238240103e-05,0.02617341157046833,0.004162562521348922,0.06185101588010489
